parameter,value
function,WFG1
dimension,24
population_size,120
max_generation,20000
parent_size,25
child_size,95
seed,2
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

snapshot_generation_11700
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.1990986046226748,1.755176645648264,1.6953223814996772,2.0795702711567445,4.5612676280088298,6.877564818180665,8.7470399430644328,10.231145050767177,6.1353151252583418,7.3807149171664541,10.355949385061674,13.359321480985194,19.578159409257793,9.4462528976513855,14.873014082149428,12.549169120808369,16.147311904226967,17.446239645448145,13.306913356800445,13.963574521853102,14.698895030750091,14.431691196171613,18.831744832449825,16.891998984633243,2.8633253396842107,0.94093131975485178,0,inf,0,1
1,1.9999802623193992,0,0,0,8.1178075123164675,4.9970084569787732,4.1221586399045966,7.3579861869551095,3.4153204152013581,7.159168828380337,7.6661591990639755,19.690369157976235,20.640687366736945,9.7999999999989047,10.500000000017391,11.923211020389344,11.900000000000086,22.132673209110962,13.336997786834008,13.999999999999998,19.520057891639407,22.600490318794328,21.755247509736268,21.719833801675893,0.8510011830367451,4.4263780318294241,0,inf,0,1
2,1.9999773763056043,4.8390075201898768e-06,6.7568737476155611e-06,8.2796865693258633e-06,8.1177944258269985,4.9970137809881052,4.1221745271018566,7.3579953552024939,3.4153282019623434,7.159158793904588,7.666165465028282,19.690345260553627,20.640676058638565,9.8000000000728207,10.500011521864845,11.923217459493069,11.900003646695669,22.132657036402534,13.336989380489509,14,19.520036494245321,22.600453166083998,21.755235536663296,21.719835239942164,2.1847112352506706,1.652843423595344,0,0.17122317475517265,0,1
3,1.9999802614339759,5.2649936394395914e-15,0,0,8.1178075084793555,4.9970084554196372,4.1221586389108795,7.3579861886803073,3.4153204177176772,7.1591688284262958,7.6661592012938087,19.690369156246888,20.640687369931022,9.8000000000019973,10.500000000107546,11.923211022358961,11.899999999997483,22.132673211686512,13.336997785148723,14,19.520057892029588,22.600490317685178,21.75524751014169,21.719833798060325,0.92863151285330914,4.029975996387579,0,0.15918088470901431,0,1
4,1.9997866526106627,0.00030139718369738533,0.00046536051842110965,0.00055324326168909447,8.1168039615422227,4.9973064233362319,4.1234269264699943,7.3585591112245989,3.4158490149748122,7.1582230940195721,7.6666266745748715,19.688493950022664,20.639830907903743,9.8000026706299739,10.500750029941262,11.923848127645034,11.900200375547989,22.131564691708768,13.336356004347875,14.000000000025526,19.518328166060854,22.598118182205777,21.754360853755244,21.720106517401273,2.4181660963793785,1.6528229362319189,0,0.12560948404877414,0,1
5,1.7813480660701337,0.2524279909402779,0.52268202325439539,0.64501967334304855,7.4672861767531584,5.3213830608370278,4.4716225249214236,8.3807340554225931,4.456213398030755,7.2545409057792467,8.1857369597735055,16.563058979995319,19.36931504119957,9.7976468288489649,11.335569000815545,12.111311612500998,12.139993148904166,22.053168382039367,13.046134908903943,14.000019597344719,18.292401207894081,19.271626022655109,21.460590846516126,19.861740284708112,2.7962447640516621,0.99121781632793993,0,0.12161811235558175,0,1
6,1.9639666146825594,0.041394678198082964,0.087283558345031403,0.10526906972531878,7.9946169125542772,5.0491050211726938,4.208608677239944,7.5176570010880877,3.5756444899107671,7.1375502512540354,7.7517608355320746,19.175813720877986,20.428522521666473,9.8003433328871736,10.634038522554148,11.983832310202271,11.931751084852399,22.097855539345947,13.275483347834882,14.000032373176992,19.285672238686971,22.070152810400241,21.69065444675724,21.468180444700245,2.6942032273488077,1.1395902853218576,0,0.10679175060585444,0,1
7,1.9999799848741229,6.1053589366405074e-07,8.2642930722241089e-07,1.0378883321375955e-06,8.1178060272173429,4.9970092535479438,4.1221607900261059,7.3579870721853,3.4153211010246944,7.1591676551785328,7.666159950304916,19.690366679387836,20.640685893885898,9.8000000000741494,10.500001439746082,11.923211233104018,11.900000442790125,22.132670583594457,13.33699648114839,14,19.52005505731567,22.60048575223292,21.755245992931147,21.719834339312605,2.0993250804535304,1.6973635020518976,0,0.073631713528455378,0,1
8,1.9999801929113465,1.3016667410401431e-07,1.6132021735321447e-07,2.1884578811474652e-07,8.1178071231348508,4.9970083486945569,4.1221592771652533,7.3579862518353192,3.4153208370715569,7.159168262348766,7.6661593925649134,19.690368613904511,20.640687016582003,9.8000000014854027,10.500000305832113,11.923211068085905,11.900000109608284,22.132672672316918,13.336997424163931,14,19.520057298219815,22.600489443323777,21.755247143305212,21.719833913382001,2.0397504498993082,1.7887246155117835,0,0.045115842971075806,0,1
9,1.9999802613897741,2.9764322088759223e-12,1.0758756052230183e-11,0,8.1178075086226755,4.9970084519087807,4.1221586406370196,7.3579861877894768,3.4153204202860379,7.1591688242114966,7.6661592018661668,19.690369152729183,20.64068736840667,9.8000000000002547,10.499999999999924,11.923211021269992,11.900000000020768,22.132673214532574,13.336997784904941,13.999999999999998,19.520057892439517,22.600490319498245,21.755247509579569,21.719833797847212,1.188077327822173,3.2269098062643335,0,0.042125963841487445,0,1
