parameter,value
function,WFG8
dimension,24
population_size,120
max_generation,20000
parent_size,25
child_size,95
seed,2
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

snapshot_generation_6000
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0,0,0,0,10,1.2472234211744635,0.98777134191213767,1.053740802299137,0.97231375691027855,15.438439809758057,2.2868352204086442,2.1913522154814085,5.8718747278604511,3.0509459501049805,2.3405258282990014,1.7950215635482871,2.3539642157839733,1.8006752929488117,1.5312204321403911,1.4046401306697025,1.5606028871888034,1.2111727825248477,1.7429060876818832,1.2565541611581226,0.1440796224964781,4.144079622496478,0,inf,0,1
1,2,4,6,8,0.12683726949209406,0,0,0.98394516357165207,8.8721793117947492,11.165866094917645,6.819719224671652,8.920883859146139,8.7982052831230231,8.9066320742566027,11.61813245142169,10.430322461349441,11.174112980450355,9.952202903195781,19.549115107922049,4.029781745409954,12.025268905017034,12.816217700608,13.033256698643759,13.06353514906581,2.3172755193998094,0.31727551939980947,0,inf,0,1
2,1.246677220733007,2.281456225488061,2.4112150045512051,7.1965372926691424,0.095717526829468214,4.6152013644964063,4.6697636881115034,5.5759822309810447,5.5502935307699515,10.63117372353587,6.6553204799824339,7.2890066520127528,7.8365873806547306,7.8103292698202322,8.1320811488373383,8.2136838842494431,10.681832145621287,8.8744645762806762,9.9391185472525372,9.3500421857614828,11.617948936786426,10.242745163404344,10.436520338250313,10.598352196494792,1.7461362404755902,2.3139468019352503,0,0.052024702584899878,0,1
3,0.75890336527648694,2.0102410504310857,1.2759690119830411,3.9744482303919009,4.2132956835190125,3.6263446841328566,4.3087469655662582,4.4299428840558237,4.3998329085108194,11.97971976764398,5.2846679121965083,5.877468424008943,5.9265456314718836,6.7524905638145487,6.0961291617369593,6.2242417494331086,7.7592467920504378,7.1295495771065145,7.7538997166720431,6.5573497021738909,7.3464075099152151,7.3407071503094841,7.1562268172546917,7.4549327617928851,1.2333300350123044,3.3070968159895768,0,0.050982890113715512,0,1
4,0.78051247659843703,3.7645749724235369,3.813698310228113,6.2622374289818072,0.55144149997605563,0.95422793656439586,6.4377466258588463,5.195295972230964,5.9023035718861738,7.7038862756961262,6.3556921389210697,7.9580368172823119,7.7891566784571502,7.7231784818254603,8.1656411472942168,8.3298498902789468,9.1394701997588026,8.5726837625227894,9.858893623713362,10.184815234434195,21.880821694749866,10.883136467522956,10.990554669036564,11.132632889700592,1.9162980872010116,2.0384005590759799,0,0.045483654179858148,0,1
5,1.299477544934758,2.1858196765600018,1.3997145920174399,0.91315883102724249,2.7715905167653343,2.6542342600182951,3.5536735078686492,3.5642570289119457,3.5104818456511966,12.917046755399861,4.8384160861811676,5.1961965992338266,5.440742667031655,6.429228653918214,5.3323507844948015,5.613621360122071,6.442954510821135,5.6897767821697851,6.221434965294832,5.6994371554698038,6.7435040984086481,5.5326294159782474,5.6018842646220728,6.1297682457288598,1.1982830044584731,3.3461406739813389,0,0.045295316374250119,0,1
6,1.0442415586575295,3.4958636642837391,3.2169338958574811,6.1437908890801856,0.44883136446469712,3.1203168779064057,5.0322171150311306,5.2892464337355012,6.1916388078795173,9.7747277253127365,6.7584450660522233,7.8927717636811554,7.7889462455859002,8.4402213913158253,8.360016849035965,8.6263431121019423,10.178659573246762,9.1820286813304062,11.061074124155903,9.0673813627773434,14.793249608327301,10.246346858069652,11.751625892247285,11.195407807886436,1.8906869408130602,2.0998006072312663,0,0.044337670551216825,0,1
7,1.2358958240937401,0.31140281382323409,2.5505776293247249,2.5226569828643157,2.5729456005957458,2.7401276391466443,3.480228100238147,3.1434647002045542,3.0046644349974971,13.487532726105142,4.4149844532349647,4.4986398551793529,4.5136716989879453,4.816362025150509,4.8545292273559078,5.2354860567816708,5.8863430961604886,5.2227207626115275,4.8938357654758882,5.0439757660751416,6.2122297717986061,5.1491931131651132,5.8247612109791147,5.0876666935798927,1.1249568508639114,3.4362900570826396,0,0.042525580496324933,0,1
8,0.51351434707106336,4,5.5805168028063949,7.0971719397059898,0.024385382429938596,0.1241200659664229,5.4083732271828673,6.011901957127268,6.4240387842403326,7.8287336776199483,6.7674392587886469,7.6619397416375783,8.0042740232053173,8.3481270065213167,8.1520803220787368,8.8291562927197731,10.090175585319981,9.3553891559970577,10.658360889567243,9.8587866961646089,19.819527305250951,12.014294970511987,11.534995498644802,12.25867197282736,2.0449639006490834,1.5984763602965066,0,0.042187925059522034,0,1
9,0,0.33682614536086564,0.59795120585778139,0.56990851286373956,10,1.5885382117851785,1.6696531980358618,1.8391399199211231,1.4512420664521677,14.638077041713197,2.6001093715743151,2.7618104389125175,4.8708677585484859,3.4953248860682158,2.7818277407104191,2.6049650564121727,2.9130195277349888,2.4731568673712685,2.3656284776443366,2.0534173718579818,2.0941781904801444,2.0813883572352703,2.4411051590366264,2.2503568398516922,0.31778241829035919,4.0977045815045052,0,0.041126521742253348,0,1
