parameter,value
function,WFG6
dimension,24
population_size,120
max_generation,20000
parent_size,25
child_size,95
seed,2
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

snapshot_generation_3100
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0,0,0,0,4.7229871569164299,5.5472066155302597,6.758630553876416,7.5678741927544291,8.4705700438903815,9.5759639982979241,10.432723837261182,10.758438377381438,12.683927201943836,13.034631073153754,8.4001129736353928,9.2371283648079867,15.762377266435841,16.094280591899487,18.107767202974809,11.549183764335353,19.808831187645289,21.029025804921631,22.278792452433208,22.890863718387983,0.051688920687310763,4.0516889206873108,0,inf,0,1
1,2,4,0,0,4.7220301805513403,5.5868714966108515,6.9232374511657122,7.7097741637117227,8.4609685482095323,9.6037065798138848,10.176885745214722,10.7378329119672,12.537353731486689,13.032534801381765,8.2593346688333718,9.0928182070808994,15.693814830403609,16.62758080361624,18.100338878246109,11.402007090768029,19.968233730894678,20.912128985864364,22.043627164274891,22.787689722114965,2.0513582620847868,0.051358262084787186,0,inf,0,1
2,2,2.7501032807345096,0.30540469022735622,0.23328538428474865,4.7948372437693543,5.5441429624834209,6.8994773086765155,7.5847694246798945,8.3693242170604201,9.5669878788285487,10.337055192908,10.584530386919598,12.587148620248342,13.275738528178675,8.5341148632115598,9.1417271749109936,15.62561925459195,16.273505285833011,17.835179699663382,11.517938812285978,20.313200940890074,21.190081348464204,21.854449713455256,22.652936232955422,2.0226987688215448,0.76318126064483049,0,0.064717177745336293,0,1
3,1.8644031188832635,2.880627541803555,0.054797988319787716,0.25396462196195146,4.8178304083529628,5.5334088638419789,6.9272412010071918,7.6171478127430863,8.3410154956344122,9.5082956816707895,10.279069603417376,10.548773563408224,12.449803927575774,13.193630630241184,8.3779580642809055,8.9485445720371981,15.744699338880775,16.538158060430501,17.723458786783009,11.456242464062523,19.807664808838119,21.093669526964149,21.946726588374609,22.500212288388102,2.0050581233849454,0.92002368344767194,0,0.061878205524916366,0,1
4,1.8030184001828338,3.0067993006700413,0.46199196403049614,0.28680620684829111,4.7694978584218308,5.5148137189403261,6.966458055649956,7.6345346755073464,8.3540850846691743,9.5968966820266193,10.1482307560998,10.670647338565232,12.5148210161944,13.16943892438162,8.4012740740606784,9.1627516558515172,15.72595513702537,16.60016891500122,17.649187522076215,11.481957904625544,19.866082122407551,21.071594312012714,21.758089817872872,22.755136008834945,1.981842449435123,1.1017368531786087,0,0.052347837382261536,0,1
5,1.5811623259561618,2.9146497447105526,0.39687609495864529,0.17200221245363254,4.7710887627843599,5.6754995821622103,6.9258820867898852,7.6790674769335991,8.1939025861643913,9.4990690005951652,10.578990796116299,10.75681368026266,12.557251683102816,13.102386346908593,8.4349676689967819,9.3708984076185047,15.642699717677401,16.306357978559639,17.70235896937033,11.299964306536333,20.104770231417994,20.489935823854641,21.812990009688789,22.660850575173725,1.908006417090752,1.5584710138855757,0,0.049267958617826339,0,1
6,1.4077639497115373,3.2590717115910204,0.25752174274210576,0.22424772710278604,4.7189436692519831,5.5223971246695518,6.8894877206181029,7.7026298142110372,8.4907599894140198,9.5507322824521914,10.17365879624777,10.784112060284565,12.661342447231362,12.878024266305763,8.4661317884426754,9.3073688706180153,15.609157100120465,16.525934554231874,17.491361173600712,11.455248180084078,19.674027999546059,20.723754435205233,21.664716455977484,22.70669345184039,1.9140936191165281,1.5046863498335807,0,0.047119239398838476,0,1
7,1.5734196071922126,0.32443772859334963,1.3829718291473685,1.6016617297726878,4.8369716088130597,5.4584807838500007,6.7838644774141228,7.5103034316286488,8.4864573400433034,9.4143050770781311,10.383505145004843,10.886983540294862,12.529652150770421,13.014112681555661,8.4991644136252589,9.1833036661919092,15.980822768586568,16.225088147912309,17.661362304782191,11.804579771894412,20.035971822842889,21.164759491773179,21.740943811525444,23.032070160538893,1.5907297006673426,2.604394717527124,0,0.046812822334170209,0,1
8,0.61695360870702998,2.3427547368663193,0.48823534349345798,0.35470074894605508,4.8017688075888447,5.8212689215953386,7.0216232794270033,7.530609414713612,8.1387365433178527,9.7798775625124517,10.344402217877787,10.861357467134351,12.554657922822329,12.879327178194044,8.4049009213479788,9.1849485390253989,16.05121766260277,16.294336031639983,16.818200463237588,11.335025797486045,20.447059208424971,20.476705426599732,21.871618606180274,22.711626130088234,1.4157931872179175,3.0137428161361668,0,0.046450974665443304,0,1
9,2,0.30958904238786039,0.57084636195450178,1.7633787804100598,4.5648682413057431,5.5650140063881777,7.0304202287961717,7.5498724451520776,8.8281377139024695,9.5919615270517848,10.605010855038561,10.937600014195363,12.480321570201712,13.614527728280315,8.3506240969749754,8.9590162327332834,16.092958388287219,16.795577745033178,17.958771304587234,11.58920648180597,20.014897534795526,21.015756343382389,22.84845721715266,22.860609618119124,1.864329122674615,1.7724425598097804,0,0.045995667518534594,0,1
