parameter,value
function,WFG7
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1782042388
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.4945786083906358,0.38996692120112264,4.4845165907408466,7.4649981806415404,1.3180213467522008,9.5496872957425012,7.9507506835409618,3.2937172924169071,7.595199964577958,10.202419476542357,1.9214232989308195,8.652552820214197,12.571823739102378,22.563350818573515,17.284888561552279,1.8509860387532198,14.748024188047243,24.068235142433359,17.864129128336717,27.586719809505517,15.785010362402426,23.215509466673009,27.7682679942798,21.683724450957506,2.0565260263087883,2.5314725975694805,0,0.31791244554910153,0,1
1,0.43306235795612014,3.7206037159363974,3.3103146916926875,7.1696911628231312,3.8957136253777795,8.6698511789204442,10.543829457481982,2.8190698363430537,3.2563050651212841,10.243853072820615,0.79218101667210483,12.574631353283095,5.025594226116576,5.1889258953579249,2.0974529369036246,8.8723601729618053,10.132736481755467,5.0886512938956781,21.407098416028152,16.575851043775195,18.339501919083187,12.045359808517849,8.7385116693130094,0.52399711801826254,2.2268586994498301,2.1669259070878604,0,inf,0,1
2,0.40590274433526152,1.522792309694021,3.4392822249720103,4.851071811150141,2.8226409873492053,6.0574205756835031,9.1306403305570605,10.45683369122151,7.9598824072242982,19.250206675009164,3.5958098716077505,8.3435383477781109,10.637114670396368,20.862359144388094,9.5624813268718363,1.1351751445838734,17.189534430413588,8.8345074734642939,10.13358720294679,37.343473463583045,26.136993510161428,13.560620599815103,33.761680749907846,47.429891772034949,1.1390211321665318,4.1577905226989644,0,0.20976197110927744,0,1
3,1.9317049096457886,0.27631650360533955,2.7269641092042871,2.1801318069288382,9.6958987158361456,5.850133634781125,8.0291009910791509,9.9976083203206834,0.50811468193448817,11.014742192227766,7.2527717672122076,1.7637733973574785,24.41954057163559,18.517784358040394,14.121687796177365,7.0121828085553926,21.548260065144436,23.28997257033015,15.207630391738421,8.7416497893056828,26.64984485150886,31.314599503401276,31.694442770309649,26.151798460956371,1.3883001583908889,3.9942663467943178,0,0.16848132039893438,0,1
4,0.20734036793665336,3.4531151025110698,0.35378343665460399,6.6110994146264428,2.8996328994423184,3.3478202009123432,4.3296122541787216,3.9127214975867934,10.103907040862424,12.048767598307107,16.060497867883168,20.531419424430279,14.541380381652226,22.360677952738115,12.168306725823349,22.753116969290168,9.9353241906347449,33.316126174299789,1.8292808405808367,20.328594501118765,12.085902218075283,17.401163988763827,26.270575331962313,9.1860071613552527,1.7265484274159597,3.3542413893143528,0,0.20804862263469709,0,1
5,1.4045096670752433,0.8093332544062809,1.3989806913390685,1.1279653390625632,0.23881970122701099,2.8235214872473824,0.67718518262672556,5.2563234429808858,3.4837770303363551,14.958705705722814,14.733385635400001,3.5191278491862592,20.714721960304768,21.885518352116698,8.3252685631120453,15.619733697708501,15.646589028333917,24.538784784417921,5.4428887845505249,22.573924075218574,20.040690553679191,13.035317954581409,19.41560634922314,27.58482079343614,1.5600636378532049,3.717418678103841,0,0.18972262843225685,0,1
6,0.77656847187901756,2.3290011582599046,3.2892876563263069,4.6274695169039362,2.2988935033208602,11.758956102140363,8.7131781421628016,4.5254806206275475,5.1693158530069816,10.645864856529023,7.4025855967083238,7.0589953478919991,14.71969510238069,22.904098096749561,10.671020189730797,15.202470040014434,21.852674115015006,13.546432895408202,8.7692484541191025,12.621777578579705,25.556121585529489,33.279906089125866,18.232790367946741,8.5302713219840012,1.8243895451926615,2.9477760193056151,0,0.24908403771387294,0,1
7,1.3253724288728692,0.14290248322639609,2.6546163804698288,0.84262766951533874,4.3827022455434603,11.506586895033772,10.528418438705105,10.521006439456508,8.0357291422337891,15.170432448624801,20.927863322490222,7.4410128884540025,10.540555536178429,20.585201760206569,18.836911897613923,4.4840687542104396,17.357367283981812,29.201253374263782,23.070089375316776,9.799957261600019,38.158843090841849,22.518941690256057,16.60653636681181,37.264116759504589,0.54766189681372102,4.451702322196315,0,inf,0,1
8,1.3343489302894092,0.1710161473479111,0.84260597052029707,1.2564231111111561,4.6527462258412111,1.7054984026412519,10.360876093103334,13.845349759149267,16.431891049002537,5.2022841699542743,13.655357851093285,4.7216023753796916,9.0382397179518463,26.211976040309089,4.0685023606899655,17.49182178677,23.38861415325248,18.84906115797224,28.689437073592817,38.020273006235868,14.031167099090499,13.53954897616063,41.52235979003563,11.795115228765313,1.0073158797227411,4.3394839408414256,0,0.18983815688823868,0,1
9,1.3963830442022624,1.7202892304684871,2.733931163987156,7.1852398426871185,3.053239726424569,1.5790300461561522,9.935456752571902,5.6763078665578375,7.05903852592236,18.126885353443676,12.732920618330976,9.7711973927399356,4.7144250661255649,24.976840100063754,13.663753351761235,18.053449132283077,23.054939548661981,25.751207741668551,15.64552320205086,22.796324306976707,29.126120321940228,17.97430621971623,8.1406162886491291,8.2295686155226129,1.9303142188070184,2.9076909578310626,0,0.13354081114406388,0,1
10,1.9377210938622178,2.1335178700472173,2.3804756532582596,5.4468603510393514,2.5946381744442433,4.8299424446637929,9.6209755648415101,2.9144655217772018,6.5481823240969925,11.128470448503256,2.1848986305517331,11.705122729605698,14.698800034133127,16.327643828396933,2.1889164474740563,7.41486997124158,12.801842762561282,32.395310816594183,13.751879818252357,1.7205585135417378,12.462595134161825,41.741238262537848,35.037758802803616,22.555991753711261,2.1499009237103839,2.3592089198956505,0,0.26099163759199628,0,1
11,1.5656454454812354,2.6420928012835199,4.7047628304556195,5.8454328446569095,1.5203906454683485,3.0235460595700094,6.6809097432920623,6.7881645919556037,17.548438204084714,15.469102089163414,12.782874588663331,20.125665619552194,7.4274580004651503,6.9611959107187804,20.493495559573923,28.201181004495908,24.162318954473609,24.861047546340831,16.443094080926599,39.408192971801263,14.461980679298597,25.220911143186228,40.030525327123925,2.6499101269954792,0.79920481964374279,4.4461339867234093,0,0.2092721590320907,0,1
12,1.3946686320054025,2.4980807713541262,2.1930262522931274,1.1749567759849944,6.0938390270224758,7.1177396868056722,10.208246306863527,9.6360962122523297,17.682136164323552,7.6024660943204827,2.0570445594609996,19.030552292412377,17.939616061873547,8.2984018628923959,21.23763958777829,30.401481128782205,1.8232330532752039,12.153824508040753,3.1170129111334166,35.709701337530319,10.577480414469544,23.058939188804676,27.230627557355227,36.442202169423709,0.96497366636658111,4.4168979131492714,0,0.081696793490292643,0,1
13,0.23238715283271238,2.2884212017421781,1.2243278652994605,0.79539084513440905,8.6991579918920827,3.7836740058915006,11.975424783283092,2.3241072995082024,8.5172520516022523,6.4735590305464221,10.400655266446281,4.3688192802063774,6.0904879911450571,9.156158994177293,5.0181959247335142,26.725586703270281,3.6174882862271915,14.660464094711879,22.597974910169672,17.086881618602028,30.739700448973171,33.183856615963947,45.044734931001784,15.935731251740535,1.2490163571257249,4.0571185396757476,0,0.09009399881130542,0,1
14,0.64987802586515664,1.079567131117606,2.5059354013619655,7.1611976583614956,0.080346252117470013,2.9849165455041726,7.6851821771790583,3.6462981379530794,13.595440500329367,12.837449604644819,11.890452197206503,8.5728596430814168,25.596139385041269,16.867654669253845,1.8150897081157724,12.605649713435644,1.8025436273445143,13.851136141371947,16.951703992516698,18.162108079567211,30.126191454120391,29.090294123492868,45.613186015962711,16.607486350280524,1.8230264217329437,3.330812602766712,0,0.23616821315744915,0,1
15,0.61145747430468333,1.3317652548877161,4.524193165890467,7.5029640784264195,7.8839997256581853,5.2918454903325447,13.205837280564227,15.945246718855726,16.231531624152417,11.318623855605125,21.944872103956452,10.826391392206901,20.088455668333697,10.443055114441773,25.741981010842771,3.3808484690154934,11.549837418560712,34.634618247968355,1.3070688184552357,10.193774076712431,11.687890995145988,31.66448503668844,16.368339687209147,22.081852420036771,0.99702409148242466,4.3983219136238256,0,0.059098269422487748,0,1
16,0.28168193715922324,1.0762651458050703,1.158093680808034,1.69735287913762,8.2753158052190532,4.0664649173191201,1.1688025232163259,7.0715410612971699,3.4197278767425772,19.847284287141097,14.180193553050904,8.2038772803099391,5.1185622117972063,9.8820979669240572,4.1745623619700547,8.604247604694514,23.847576775507651,6.6897308541515814,11.449044635708658,9.3173685094873466,29.428609423976873,12.729964289667986,7.4773913597194142,33.077235536424638,1.2707769326363696,4.0128548106618585,0,0.11045580272980185,0,1
17,0.65417582469145241,1.3825622480696149,1.6569957291314661,3.443113320881185,2.5687247154806476,3.4211625544283377,11.253225951276731,14.307252077521172,7.4428454032357578,7.036683222390856,13.131436339415563,4.3405625203700442,0.26768178336232973,14.097124152676086,15.228840309288451,25.193289103415793,19.475428600067907,11.99168751936176,37.933577982453293,37.035779574632464,19.144666001548359,6.6049696970615379,25.827767538804299,7.87151948534569,1.51809846233528,3.824734872601173,0,0.13310187622821049,0,1
18,0.21503249984515468,0.57989938304452082,2.1539879190725668,5.1853821994590676,4.8190663902774098,5.1046313915497672,9.2329492061133909,7.2830289058145352,1.9800571038459664,15.949805614307602,16.684553230367793,14.665606337552514,21.434771015927435,20.805168895317451,17.595756937954423,5.7888433634357686,15.706994162272746,3.2989952876162585,4.1366521105004983,2.9692237619838617,20.61330526886583,34.267970962857632,12.517911492891516,12.752208809940431,1.4783099742010399,3.910289689145519,0,0.15149831659325558,0,1
