parameter,value
function,WFG5
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1782042359
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.8932559451126785,1.0835218436127234,3.1911430892591692,4.301332025706027,6.7075028623930466,6.9097616687896659,13.921171108723138,6.9225160064501345,17.701887049525794,15.173609976174017,16.591877711459173,7.0719191535884871,19.029911538199773,23.618266132519796,22.108494134308813,0.66481661036329209,27.08316690986782,12.603908062976414,36.055385532116922,3.4059252513994007,9.6830793867908067,22.306567309493293,24.118203135528315,0.79858327205965152,2.022483650214939,2.7945390036899176,0,0.11685398702315673,0,1
1,0.1316132744096466,2.198767210223624,3.2566137603042451,7.9522001673191207,0.86925119469424739,2.2061219289305458,12.726897893900004,2.3408876598871298,4.3834646085869204,10.446795904552859,18.455426177510002,0.37520345555446571,2.9022294326057962,1.8076593523038258,0.73064001605538698,6.3388425595757107,6.7657713834322575,14.361723667811161,14.590087707049596,18.720769082749818,33.471769772671166,6.8666228134834979,45.027716328598949,4.3661151576673802,1.7030571258298242,3.5801562741698776,0,0.13443331509960343,0,1
2,1.7227470752817879,0.24523460991470886,5.6909245677544353,7.8407368532114576,2.305228065428238,4.4794169272145501,9.9843188578798809,8.3422419887793158,15.990584188449414,7.1706703356948438,13.99276557171736,17.984129185658979,5.3485915095978251,10.03244592046615,4.6969024227530349,4.2218753162430822,29.133498828484662,1.7080854033859014,18.319072987205491,26.238057357033604,28.239964511153563,27.346942159955976,31.262037613896776,10.74711957023257,1.1066861613770178,4.4437828064975387,0,inf,0,1
3,1.9421507146461221,2.5339984417911703,5.6367608944997176,1.9981180038961468,1.6209003450186374,11.575424820535417,13.777016290838946,15.882283481597485,9.842524315623697,0.1523353669062649,4.9449539049159048,1.2308688967407191,10.350345252277261,17.830593263203951,17.688728985995873,2.30166489772399,28.181559207333635,30.813906997549179,29.675702189665866,33.477163239504534,16.101108886214856,38.430086736441332,30.689896509257125,43.930600366148653,1.5364338571571949,3.6786080990783061,0,0.10497915963559198,0,1
4,0.82440229719808067,1.6077915353839247,0.67120724782249375,6.5343544643736982,8.8286272297620858,7.5666693141319943,13.338271865814292,15.593779622423989,11.85799580627506,18.838973276140973,14.935106993711724,1.9968697187310462,20.524424973677739,24.168197366572517,23.830453932623783,13.87232914810094,18.700893649082147,0.52040533430273561,16.113308118127179,5.3881749694164425,37.580562817384646,16.499720456886077,44.020244005121057,3.5696754219958384,2.0656780238485131,2.610165225688621,0,0.24648349419664328,0,1
5,1.8657840146118037,0.57552756754699663,1.2734838744126278,1.0310305611800414,2.2876336324736624,0.46592579748824475,9.6247173080061685,2.6133908347340253,15.802335406325843,14.282361448332379,19.808262244683412,8.8197478906318523,23.901078990148086,2.047998697329013,8.5917236810357682,1.4832523621328904,7.4371858673718805,32.178551804875688,9.6348704280003208,14.024635080884016,38.930182909432801,34.349229880412238,13.044935683053989,44.567425544134188,1.6289605782362759,3.6606393954191248,0,0.15532017691777844,0,1
6,0.48871624829531818,1.4347180153377235,5.0272320814132643,4.2298453236599824,0.53091144808169632,9.0711158026146776,10.526350796838198,11.786523157342524,8.0860774045683357,11.943249093380825,5.5752480674875109,21.249098776832827,4.4487955798066361,0.85857357610049567,5.725734757004342,30.677035476398352,0.47626060715147078,26.413020616002086,34.293439264844018,36.788564108573937,2.1039582636084546,31.080607531882627,5.1563074738683961,24.240996736757225,2.1526538576023051,2.3076132136478371,0,0.35221987846263286,0,1
7,1.9062091075178362,0.3212980926230396,3.7175165008852762,6.1310548076187894,1.2346918031198875,8.69212077864149,11.094777544260054,15.763197512315042,2.4588854149070971,13.555464656567814,18.232588640266204,14.50391494282513,25.799093164794325,0.67882414213150555,10.340545585689128,19.24828481048932,31.166031740493938,6.3343512292855904,17.30581756095242,33.107504330074839,7.7215962802098224,32.783008325972077,13.098928635163714,34.773280776429132,1.487663768353007,3.8738969483604309,0,0.087650574208318677,0,1
8,0.89799600407139357,1.0499951892992412,3.3097305660540366,4.515975300970883,2.8835697649536893,11.23513696753294,10.68559934080386,14.303441992510173,14.555047084361627,0.29968345830844978,15.413847273141485,20.487678049557459,24.33874405183742,23.747202170310626,6.4133306756256356,27.38786364991007,16.354436512970111,17.490672221098791,8.0826973671822788,35.623061332619528,36.626689186672401,4.0007567042280128,37.755418985042255,31.617066105744232,2.2477227821610426,1.904589554427714,0,0.38191370529136826,0,1
9,1.3849826800809228,0.40896550384214514,4.8288869755573316,7.2495247713553619,9.2459257050417314,1.5744345842700218,3.2090669573564869,0.49426040630540607,0.096130520072122583,11.162584162829452,3.9494078031206392,11.326908553923534,11.665706704326524,27.916028690475471,3.6763441145876272,25.127860463596303,28.947044356698907,14.989425062571915,9.0293371239659148,35.579486998779551,0.073211544916919419,20.818180578888413,6.9503757348562116,11.067501886177928,1.4749637797278843,3.9124317995234321,0,0.067673576420514844,0,1
10,1.6469380840116532,3.1709634991692992,0.35348552170260172,4.8542616728786872,0.28877361911503568,6.7041825925347602,0.95909599599097151,9.145356089303915,17.895681131916447,19.548640102221441,18.328374034535027,6.8375150568094067,8.9870830864525288,12.282636121804304,25.378696276144805,24.318318870375897,0.40456240418866823,31.795276486574437,32.605571747075331,35.532971506193832,30.946716956325631,25.325007057274554,3.423507899008682,9.0129240176948464,1.521357175050764,3.739535886075426,0,0.096272162941092837,0,1
11,1.5699241515809583,3.1651556094419107,1.4213058946596837,3.7427575893674954,9.9530892915453659,0.069425504639224159,4.0852874390990612,8.2638705580146752,12.29569426305985,15.471387876846833,2.526307009341207,2.2534461963925514,16.916373974303095,13.46669971216309,20.225748333403732,29.867854585046249,21.709325648578563,19.945814740426751,1.3610259760683108,35.285401861115915,31.133491374443587,6.9342013954925932,21.44101576595833,40.524591375657181,1.9932025229181267,2.9949282674145143,0,0.033797622711869924,0,1
12,1.7408004867614311,1.7270291340340169,4.7383411187002702,6.3564988348660956,4.9703606870387844,1.9174855144923619,11.563425154276382,0.57238742770966089,16.378083327895567,18.65122030080353,9.0738630723468052,0.54652717299019415,25.308186160115309,9.9613109090488408,1.3120724563123858,11.307460889543894,18.780365016389073,33.756398230839601,24.628504130255415,38.998100101065475,32.284454364516336,10.864890267096136,8.8437443770270772,18.067596269785042,1.7901644756602224,3.4842293050059339,0,0.089588311745534083,0,1
13,1.3270260980224544,1.6135703872787364,3.9059509605831022,0.54395147756013329,0.32146609262600984,2.230040415748975,13.051841245592623,4.7632063720565379,9.9424073401064152,0.98875407846116437,18.109573920390144,14.010393017760299,6.0242929478994451,12.987414784193726,29.630384963177004,22.284722734389188,0.83251319705056315,18.872025560001187,36.874868193324779,12.136000070049665,6.2303130272222758,3.6507026968878185,43.119251982138174,13.141952872580244,2.0087753440299672,2.9800869377597068,0,0.055071450927584052,0,1
14,0.63198363814050018,0.36191663739294871,5.0641007186172313,3.6426752945980705,1.5629397164331245,1.6739930284951947,0.036049888748917243,14.420978291208812,7.3450222597129411,13.523508979023692,0.34984014814030273,0.47152823198018984,2.7261257584583323,19.620133199647224,20.226772687615078,1.736199330945982,33.242998179618063,8.8187040664299179,19.651859462769668,13.015811053397465,11.34312752617506,33.649156577749345,5.0823339336028424,2.2610830950457044,2.0132073866546318,2.8637718621061623,0,0.06693887520805801,0,1
15,1.5471485979095196,3.274554924632552,4.7120523719917076,2.3225405479986052,1.4941070677557076,10.510951745183565,5.9780756936448984,8.19204830448016,0.40186128525257392,12.126197402152625,19.822288673138509,22.254224853637346,12.611345484541374,2.5545815222640145,4.5418338730906473,25.471294581099581,20.081970469023666,16.500836213476088,35.591323079297538,11.657854228284656,2.0652108865640595,8.3794677389393648,34.249096640002293,31.093717704775283,1.8365357170259275,3.4139375857059329,0,0.16414894968889113,0,1
