parameter,value
function,WFG6
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1782042380
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.9768396137897284,1.4330014981987496,5.8669679689299032,1.8174294238472224,2.7456383283156121,2.5236701642240824,10.024362349850373,3.8103251053044653,9.8919280099540288,13.201412759345539,4.6594742000991376,0.75694046361584189,24.532091243478607,1.2416178651280065,22.22444127553436,3.805106026922878,6.8423686428778492,34.626852142844797,37.070671686834309,3.3399856686409581,20.098224929740557,30.317286383480173,9.1384258822313971,45.186094816672515,2.537348640929932,1.6236120922469599,0,0.11842430375304258,0,1
1,0.43985946598564996,2.3914390973699708,3.40850658198051,0.65788977717037334,2.2504146886206007,10.819073803995579,0.73764772156446601,8.937889709867255,12.594157719049512,1.4404364149548372,3.0227250963222092,19.160519449572504,19.217376326746574,14.231377909975031,21.274273514032583,7.3966242254954206,31.901102613459084,28.378270632187419,21.760236223363862,25.611730324949377,5.1587973179722884,33.402688227736157,29.010154522814442,9.887210702008753,1.9407812324556497,3.1818325253724073,0,0.24773834956628474,0,1
2,1.4459478708377753,3.3842910973003155,4.8455623687240514,6.6831748117360412,4.6835045827182515,5.6581916088214905,12.119073316433319,10.709103217486494,9.4554042858559022,16.456533271497161,17.224673513628197,16.975842651082868,8.1401802522349129,14.591876094743895,27.870451980463532,7.7483818216648528,8.4304229962394484,24.132268056782181,6.5259733572521421,25.456170685846054,37.937330411099701,28.935434946886875,14.71692790999753,26.570681434836608,1.7350215740050856,3.7916297040057101,0,0.17025936174873518,0,1
3,0.61170113647602931,0.059540066465420344,4.7843944306327035,6.0655182053203411,6.4275481290561949,7.4026121124337187,8.3533970707124929,13.084540760532848,8.7810186767674328,11.268343241593339,8.627839320416248,2.0216371073142709,15.811994379121929,2.2084821561151453,24.318058725097707,21.247009997064108,4.7267378476766932,10.905347765994856,27.387599733337186,0.84858395490425753,31.984452474729196,28.114327550490007,25.764920610297544,19.993576492554631,2.4007727747538774,2.1005056895857126,0,0.18252168481816411,0,1
4,0.73961925119701577,0.42019202739507,2.1748247666812688,0.36115871621658263,2.6776991375630868,10.434683147562973,6.9606094973717596,14.165043664439954,6.809681673922432,2.5481929660849127,6.7647832587374825,4.5489666381424039,7.2604697146051071,5.958757665410042,26.815929748381343,3.2445411312833516,28.072916962495402,3.9546063333536181,27.269258526624981,30.220196893161383,25.633975827929671,15.991204916452078,6.7149881371578815,4.1422607868258563,1.6186065422803784,4.075684162981541,0,0.35866985163462423,0,1
5,1.8074553936647515,2.2778582840951076,0.092736576737287843,3.0838952140258531,3.9620493171511169,1.8509685487975878,1.3108746949213217,3.7428667238493931,14.549362079641831,7.9240917708758962,17.158233210366831,5.4848556186650761,5.4340359381183427,19.641088172214893,5.5343454621618129,20.958583417802128,1.8463715689078672,18.129475507431394,24.571790186397504,13.858498784351553,4.3127197652905069,5.7546617459793188,17.786057325771008,41.948563854026077,2.451114656654263,2.0838551351647085,0,0.054336332292680409,0,1
6,1.0685474105405839,0.091720783989616833,5.3063531254222651,0.17692523958853354,1.6160151617091558,4.5432138890693601,2.3532018857198773,9.1905659611824557,5.5617950797479025,8.6499461852437047,10.779048671824366,12.792373552297718,19.525444791018455,20.938481414656788,22.720385895477559,28.951439386076153,7.0080441079934541,20.620120026910122,15.177198298458354,36.457007929418047,10.846035189564333,11.570337264226245,2.6827992595704657,35.779878225384088,2.4596878754963805,2.0306196675897628,0,0.10713203502150297,0,1
7,1.4325767826871745,0.82916502335109432,1.1219918663468122,6.0153876585138901,4.3094521610431071,7.3257522712539647,7.6082357374134819,4.7583758543685137,9.666986714599398,5.4911312395305689,8.2705092201333521,17.910951351765206,14.987175199610903,12.331560638831075,17.342076471837437,9.5464327634391193,33.784123045372596,6.5867155312811256,11.459141966728602,16.671279435912158,17.944491025929068,15.732239800579702,23.731724263418435,8.3791595461675996,2.1367884011054006,2.6821567610339598,0,0.26375237774128912,0,1
8,1.924425377614841,0.56953642753145139,0.13650107936020112,7.9280714812921724,3.8048504441989515,2.0989707795117818,11.049690584030975,5.7090601577863715,15.766717638271601,5.9830393805090933,9.45461667016788,12.236273090354292,6.6300140986158071,24.80986820820678,7.0767300616891831,11.999704423036533,20.821070667773899,15.804927824505764,3.6717959309776824,28.881266674412551,35.582943071079463,26.106081194446201,21.465303463934543,22.656606092769064,2.6084799831107275,0.88458988466974908,0,inf,0,1
9,0.3481597267701439,1.5023105029103954,4.1092875170113787,1.5102348876769385,5.5795460546119005,10.838781053840048,12.16388365079411,11.620018409045395,9.5468564941945413,14.618431575076551,17.12712708941827,0.548972857569756,3.7964912357665832,2.4070346873709267,17.964903076947884,29.395064411609543,29.882912700075934,23.173049147640636,7.8989106526462196,31.639882369654803,29.548893980837278,37.712568111230304,39.839424530434087,27.103084890988214,1.8766531797298842,3.3826782095352135,0,0.206963113414591,0,1
