parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
function,WFG3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimension,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population_size,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_generation,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent_size,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_size,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed,1782042337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constraint,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
learning_rate,0.004166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial_population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.714349569,3.958911458,5.72393005,2.571291498,9.807186019,8.670373272,5.729274727,0.072817436,10.53697845,7.548307572,8.260574115,3.344553949,10.8451959,12.05082008,23.45634049,13.66565049,8.616031746,33.15910163,2.21527178,20.15513105,27.0056953,16.92802324,13.81154499,20.31097557,2.107714949,1.424261307,0,0.201516141,0,1
1,1.792821983,2.297283432,4.28984502,7.29828144,5.249007311,4.921347077,7.542234643,3.935333314,14.18379903,4.145727084,4.127448684,7.088327113,21.45178949,2.044494633,0.602627976,22.54629409,32.92342332,3.290213008,2.83033715,24.50351727,16.05928891,3.368243097,43.4195044,41.46862093,2.095939652,1.448952852,0,0.078223068,0,1
