parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
function,WFG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimension,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population_size,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_generation,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent_size,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_size,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed,1782039784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constraint,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
learning_rate,0.004166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial_population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.966577377,0.819570517,2.362055055,0.041080538,8.271289968,2.965927524,11.50237319,5.425333419,13.38972793,3.829401711,6.052180741,22.06223292,8.827160145,18.18762231,6.027589599,3.527041163,23.82244134,32.29429867,24.48774169,33.39748603,30.81331308,6.410413218,27.90754929,46.04648362,2.822905686,1.06585697,0,0.560121181,0,1
1,1.947479413,0.540887554,0.212692975,7.801255853,0.796806684,0.802343036,10.57109942,14.3470803,12.78246111,8.681409418,6.459823283,3.720469495,6.033628965,8.503546939,23.25245244,12.1023328,3.771475418,18.40402169,28.63658635,14.14455201,16.43424571,23.14371886,6.836978262,19.17710694,2.883631939,0.983104651,0,0.225207199,0,1
2,0.149250851,0.673302707,0.828325331,3.850843559,7.152689801,3.512400901,13.83011079,15.96488342,10.64085055,5.334295874,5.438847689,3.700196235,6.011871348,24.81779262,19.27886968,3.735132516,13.62432189,17.69138074,10.28278513,18.43319969,30.69289746,17.73326232,9.558753446,17.34018003,2.880631407,0.989528064,0,0.240916778,0,1
3,0.518823822,2.342621719,0.153748751,2.102852806,4.81244353,3.990102972,9.532916187,11.31516126,2.646815708,16.46046348,8.382480523,19.56971292,5.312947808,26.07137182,1.825010141,0.58664156,23.84632538,2.329007581,21.99587201,34.12346402,24.34438183,4.382683631,12.98332261,12.38613456,2.87007726,1.014846729,0,0.23856666,0,1
4,1.076680455,0.328565721,0.466667698,0.207227965,1.558778662,1.966684299,9.121198974,4.023556406,0.775613539,4.487029579,9.332385251,8.902632654,15.07771394,12.65724989,27.74262009,9.184008272,1.363507137,33.41299995,34.84430111,8.159445138,40.48992879,12.04489793,43.90965245,43.86046626,2.814752856,1.074683609,0,0.418829334,0,1
5,1.320120027,0.604981006,1.064675293,4.645664596,5.027061932,7.005870231,10.5384527,11.58680158,3.286598753,12.37538121,16.7818209,14.10695243,11.20610617,11.68155802,21.05584789,12.50757262,20.54223223,19.42684795,11.19980931,2.991985214,37.74377686,11.21253321,29.44712842,17.61587177,2.903695598,0.982759496,0,0.201065602,0,1
6,0.817807011,2.268208404,3.948726384,0.241667947,7.923468191,6.071585421,11.72262079,7.300267532,13.33777444,17.31062464,21.70931648,8.906285532,14.64949298,22.27685164,9.775062921,24.56542675,23.38940723,25.206408,32.15200374,6.318102757,26.93966919,36.4607138,13.66715406,36.50223826,2.87813407,1.007084651,0,0.192321629,0,1
