parameter,value
function,WFG8
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1782042398
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0.97377517362785138,1.3401598655886102,3.7224112538458902,3.8731846929718872,7.7254920069266078,2.6032986948793355,2.6720249675068914,7.9863628957097896,8.3200923087585608,16.358855433424864,19.470011919279653,9.895403124517081,13.384052538290444,18.074983622859975,23.353241354968034,4.384661513736372,0.34091763202242442,22.048443019523422,8.8817861969290064,7.6822743813169501,18.821174007658808,28.37962835085737,13.853826242188545,24.736320974509709,1.8653343981542478,3.4014359580671658,0,0.29768673432782078,0,1
1,0.084643427771119051,0.9080828731779107,3.4475294136047241,3.6544410461113617,2.5994667737475563,1.3042579305193505,1.4715363942297011,4.6972131163218984,6.0025369610521802,6.4140439544316949,4.5603032269009161,21.881447146589082,15.283970791062938,14.318064764295123,12.889860839834645,0.53130571423725248,19.315780873359358,1.5997308383375477,5.5634287816472225,21.991007913025857,3.1065947854771809,32.481235964403936,22.059024729643568,16.846614199157884,1.3972382924453619,3.9089107785600996,0,0.17046144953140915,0,1
2,1.6314564961450424,1.5308737938149084,1.1513719024813014,3.7379709049442482,8.109705163173178,5.5565783610719279,1.9488438102325221,3.394042394537566,4.6327070191432904,4.8793838026586123,11.019387234275603,8.6309363150890235,11.029091186344864,7.7983170989384183,15.993488386849073,30.023536946258869,17.704759768393568,19.811543075005069,15.352527190289655,23.533221759425757,11.754797397093347,21.272222184043176,37.407247478478027,45.8073289584378,1.7586077231816253,3.4077559707083145,0,0.15355097635476164,0,1
3,1.6350721298512927,3.9531904537068683,4.6761741367774068,3.0217954314128557,2.8302671669482531,2.6042853428288173,11.93947030405292,4.9682483277641047,3.1664743278241878,15.839974209899941,0.37696596563439355,1.0109683869346553,9.2243654147330023,18.610821416906745,9.6722623032401795,10.245697275813393,30.814571434395443,29.748709564143525,26.418933874198718,21.387938062027882,2.9763842598346146,15.344963612089721,41.425928685163939,29.495602275949331,2.4024355673293472,2.1503969369386282,0,inf,0,1
4,0.39446694058570209,1.3713656446341118,5.7613220976720703,2.2252412388902649,1.2452889736280157,2.979981966106652,6.7080149565479772,6.9341327067620533,1.197563983266585,7.2396807872766686,4.7307129317172825,21.628296612316348,6.024298327265174,24.400681997335258,27.551942527402097,2.647403181161577,15.695176464943376,21.841821921332595,21.993034497223679,22.724515082057948,23.466115134078027,4.1811990885232353,25.127368786275429,23.650332353388343,1.7234830638945218,3.5010017556889226,0,0.14782592907116682,0,1
5,1.1123723332437743,0.097039512457223254,3.5728672476921304,4.2261186644170827,2.5183257713573775,11.167152748939813,4.2263487721576407,9.9292449831049812,6.1535843935371668,11.060891242751303,10.612147056060204,11.078305150537165,14.338733768306039,7.0360389604921538,13.638951998885011,7.5873858441800408,27.155231851898201,32.785357304415001,22.245393525511211,6.1302692796917144,9.4125269327494827,1.7710886840257301,31.731194243805458,4.2144481023754947,1.6594324480223381,3.5558526973090663,0,0.22688099928192937,0,1
6,1.3274831350031344,0.12641561620154654,0.022968522199951311,5.9505825792675973,7.9839355796692111,6.7230620962578236,4.9809755679914858,9.5335145540967758,13.026809995909323,16.324970544570139,2.3939878382732322,13.787432932294646,2.6057126191280506,5.033203822581636,21.017728875616513,6.4462668537488836,9.1175065312287806,8.6635792965415046,18.226819153315866,25.986419501698844,10.566638165125324,34.484356693042038,18.130555211842715,43.007908845370345,1.5392962827783505,3.8404438205214038,0,0.21853014280792407,0,1
7,1.6050916949736629,1.1199717521236925,2.5661573446738322,5.3190074974447725,4.803913484615812,0.86052542168349255,6.2050098739824575,6.3318378604262522,3.4799044600620332,5.3101331293274354,16.286022505760311,9.5487720136420293,24.465046759993044,18.954779890417623,2.3318528288602645,7.6771970065751765,6.5347277693480095,6.2846773282124166,13.221512991080036,5.9704911657687809,11.586971956664414,9.5345970339035251,13.911288055214444,13.555646453353653,1.8781862709980734,2.9975439283700833,0,0.57027987811896885,0,1
8,1.553536416307858,2.2528955676050773,1.5746478855827089,7.3137754530533678,0.29180589296011816,8.1092340468001183,11.811749748798354,6.7791406360601734,1.6253707547788638,14.116994596892267,3.7599160858045564,8.7488303903057183,17.042657625378155,3.4802915076234409,12.27685347330145,14.145982490263709,32.132829611776934,16.660691036025419,10.154542124314951,23.087492025186187,25.92291207881371,25.606265502038404,10.83310094101412,14.972500535999725,2.1173891595493197,2.6476986145065347,0,0.81457436103839509,0,1
9,0.1970057900566658,0.035249994257351869,1.7579567411576811,6.4357341677464772,6.1676966188448032,2.5543963658774569,1.6204722408528609,14.216760655190646,3.3819281381700996,1.9282878245201656,5.7218016125187807,12.465162441284747,11.474095600202338,6.3485644775282424,21.898219160749139,13.75588946086901,16.613142962747041,21.692302619200625,31.797808167953992,19.907280939315633,17.829113576411963,2.3773317820670039,26.561527066351101,23.075568970376111,1.3206519310516156,3.9699457266330169,0,0.33613924038824067,0,1
