parameter,value
function,WFG5
dimension,24
population_size,120
max_generation,2000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.0454732499714317,2.9472458500155976,0.99243667802002622,5.4964663925244883,4.2681084387329209,8.7426887608162005,10.588695465734903,6.3617804346569491,16.653601947497386,4.0702063569643219,0.17605964144303926,22.232417071097899,7.6573002143158115,4.674644594455077,0.72304876012013164,14.464051414650291,27.483517306738104,13.261566747230106,23.149865556742359,1.3939089790290458,14.892243820546692,3.4548786584191258,31.88651911500228,0.61020798801253184,2.0121219015875744,3.102403617330229,0,0.095351467352739666,0,1
1,0.47053665356489122,3.2604002299652328,3.2633834223884954,1.5300821609497259,5.8883993625359823,0.57764154657357702,0.22222171694848913,0.79537624277246621,7.1894752476884145,11.538079282821165,19.08538400521708,18.867893691976139,6.6222714329583301,2.3031374382008658,4.7326798942269486,6.7037721934083541,14.191014983584218,12.516840599153831,26.595593152766092,27.900379836436674,3.1384035068333413,1.6046669030948095,36.312392709481941,43.225370269619567,2.0338889656637105,2.9407807945797169,0,0.076266292940925406,0,1
2,1.3243239611208024,3.3119104703352233,5.0789781975493025,4.4403652825290836,6.7324623973116555,5.9829918875171959,0.11169044359079948,11.393048417365049,9.1525727555092988,3.8107884968488808,18.944016772534773,19.529621839550874,18.751841498182696,1.6892815221783324,0.32034666839000686,31.44947288920412,20.682527168710294,0.042554575769017229,17.898171631564747,21.559414720527144,23.575702562871808,40.572843710105232,29.941427348109364,3.0497257701970981,1.7352901470197435,3.4418097254260727,0,0.16989088038217251,0,1
3,0.61005235968621907,1.9668708767286698,2.4692824551547323,2.5429219769774081,4.8828232010471169,0.75258696821894455,1.5861526682837688,15.181390133498219,13.533942920996237,2.0281305215671139,12.868630654579203,21.780802862986882,16.725647550867922,18.607197000111693,6.7501116686280769,2.6063203861449376,3.0935910979452865,0.13837740262388101,36.382252077661967,2.5916962916066804,32.127188055171317,24.013212571262297,22.991301505402845,4.2023097913171075,2.362158061344021,1.1793562464212723,0,inf,0,1
4,0.026028978938344879,0.2594879412564044,0.055914370197623547,7.7768296868240148,1.4883964936772069,7.1963064553303333,5.7656609359459878,11.805568271742679,11.457725197528346,18.418944261748194,14.831781705273521,5.4820257780418888,11.340983110103636,14.309282081552908,29.15160071368004,0.081893548002492142,2.204532729209828,30.474452684062783,35.92820745841879,30.640123365990469,27.348699513753335,35.863880940100238,0.1056543389042104,12.137855397691599,0.81693591909297059,4.373225738036048,0,inf,0,1
5,0.35841721385605929,2.601743241388693,5.479728090840192,0.41124041491127022,7.341914372105566,3.9374122690767521,12.706808794870462,1.3518790532758638,0.9994238174947585,10.518150559814401,20.625202955395956,23.279540031718966,6.0932535144821216,23.825597290323373,19.707955879543217,20.65352253624869,29.08217288607586,33.518061842948555,16.647530482128364,2.108527697455417,22.994740162585352,8.8931288423188448,39.252247117303199,34.624466886237549,1.5200351833747499,3.7859009806681674,0,0.23970586814137795,0,1
6,0.80549520779566119,3.4177539220774866,5.7954280812546122,5.8471620160812314,6.146011716784213,4.7527732500396231,3.7757276402002349,8.9413071479418296,13.004665220936415,19.542182426177625,15.201350480004901,7.4235147366357701,4.5179190751451381,3.4793342560774732,27.62049758337826,29.32325107182443,31.462882894095532,2.2591852959566783,4.3577142049733295,0.53792473680103958,39.384210863332207,43.558408553996806,45.171928654668839,28.079780869406946,1.6563270522886759,3.509767924302825,0,0.24703848587703364,0,1
7,0.00809061866827019,2.8068491650707386,2.034005178261463,2.6413887028954481,6.4400535451438943,10.609167085076804,1.9747198446853116,14.302014663855354,13.090251537512714,8.7980940421442924,20.512988151733307,19.555363411112417,9.5486823014696434,2.6067496487926833,12.42458445582994,24.485050952944817,6.7394510048367051,22.548758057197563,12.714311407903427,34.124877755100187,37.192060539365897,7.9816427813539681,21.979240453762763,10.026170876058639,2.1697048225174109,2.7827100847915585,0,0.14760425196082697,0,1
8,1.5393980579300488,2.2855541841205973,1.5974958121662921,7.5712548451356856,0.079399990194880726,7.4473845331950361,3.9981936711623161,0.61008433605237555,11.722709321408022,16.670275326281793,14.348820578412663,21.507898119395065,7.8047660929975358,2.5853998616939196,16.233445138175593,26.800928678572188,21.673693103276552,5.0249791362775653,12.297454226481634,31.393449813377309,41.870233702105629,43.712687051204746,42.893210457495222,45.483035099505308,1.8035443358643648,3.2714467769062798,0,0.17759566959208289,0,1
9,1.259363621981074,2.2325613471949248,1.0333121620657795,5.5232023618607364,8.4369879614711536,1.9830570643161449,8.7141661193575146,15.276265245830858,2.7264485316870721,13.331910152796278,7.8831026305722265,20.542998226226707,5.3841169656090768,22.79474378623069,27.67702270516634,11.745271018139816,17.520883608507315,1.6240977577306213,0.45187058426088911,35.695499609509895,18.351340777434295,41.675120592377056,24.620632584784065,26.546323321597036,2.0499859645087257,2.9370814841388166,0,0.11533704352590879,0,1
10,1.822672212337626,3.0134498322185421,5.5725065158911518,7.8261131187568491,6.4558732717653822,3.9109700551170654,2.784056728400973,15.565879995206441,8.5959984440722668,11.442465139316695,15.50715421793565,17.382707961361039,1.0376955017313005,6.3673713183274483,0.92171900558810727,3.4248169105653159,28.067964697140113,0.64824400157560313,21.776818012986244,38.260815917800116,33.37881244684386,3.3759287268934903,44.482740445402051,34.213107341014371,1.0524725544191966,4.2053104873789158,0,0.41377971848082851,0,1
11,0.89009899898449407,0.71788699592103322,4.7537967815174511,1.0274324267142609,4.1898238055233739,8.0669004689139339,11.13247970084497,14.760826357634455,11.406630099499344,15.780587097743803,6.7806663491733818,2.3397738799219763,22.882145350855897,25.440017891400913,17.740725251450602,27.730496117749915,22.333148816680229,31.761480382404784,9.1014338654171354,37.172621965170848,24.054696109534451,5.2662592089020244,28.5765123067345,16.397609432465984,1.9804182824170811,3.1348006570778764,0,0.1078256959482988,0,1
