parameter,value
function,WFG5
dimension,24
population_size,120
max_generation,20000
parent_size,25
child_size,95
seed,2
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.7220553549902189,1.1234399623693914,0.75131141660149292,0.59408646785678632,3.2584626666110972,9.0840556757686493,5.7287950525594695,12.104004542542302,4.8631996788960699,17.32360483662778,21.427986057841181,18.144312172499752,24.63300688306246,5.131973962334742,29.619145673092042,1.2934331876774108,13.43727800605013,21.547669738584656,5.718485660804685,6.9777129442848196,6.24440570253525,0.58242949104586306,0.07087383088595603,1.9809176272353493,1.6654039733536607,3.5510791836919431,0,0.10845630544088458,0,1
1,0.6775372718489252,3.6841765497477841,2.0554359938222939,5.1902289004835067,2.0236066713080008,10.756857226262607,11.409527725522349,13.25688262327427,11.742884361745448,15.486748319326555,15.88160229214785,20.549540088774446,25.390158433477808,13.829430202280752,9.555769219457888,20.847802879848011,3.398807998656499,0.067775682205159851,1.9719777861523144,26.192322019061898,25.772520190594779,23.68779739310342,41.50325158870406,13.721443770093025,2.1849331101324068,2.4218880602622801,0,0.22832295776456335,0,1
2,1.0075125659083022,2.0048241272004481,2.3661095104023007,1.227366315570199,0.38353278678756436,4.8551819439334523,3.4464839545412551,1.7589151786738246,8.4014422399548607,4.124328468319832,4.31971370487007,17.205444225899001,12.574081958245854,4.8149199930836071,8.2420788992355938,28.92010829072461,32.390294793234283,23.241562658102112,11.45868556002468,27.669601168471509,29.806090180395461,31.024529880795789,11.969092701713336,38.84848041001014,2.3883701815108993,2.1402424259712696,0,0.46397869255505897,0,1
3,0.033137541138057822,0.91739222894232053,0.15026190799011196,6.068518334394037,7.5335659562671644,2.7230829313878306,7.1211096064019701,9.9513334922306171,0.8627344076458896,0.19438793170598673,0.045369310398715244,2.8707681974697294,25.17179202945999,11.695387600363581,19.342101869191517,31.080480051135712,24.904796876750613,24.413724754300876,15.816691921594977,35.49737057131545,16.254201765929505,36.735181774772926,45.532165876516132,37.741164380790444,1.3985201278438542,3.9243469889969607,0,0.21981905436273919,0,1
4,0.65017178484015914,1.1600229693030373,2.7677213425647809,3.6700415878890702,9.5920631558944827,6.3803850763771361,10.496407302031574,3.6528792854239307,15.649300717895269,16.852249018212753,14.514460109717916,5.6895022180467256,9.8517093645642326,19.759612621833099,29.7447572440222,17.740892966467381,26.662452792503029,21.698829913887835,26.343858072357467,2.9852965019632194,14.886078458013564,22.675424683753967,20.124022108002087,36.844942227400587,2.4878995858677202,1.3828377284572646,0,inf,0,1
5,1.9305442618468829,1.7228264201461887,3.5358815050311971,3.8012796201542152,4.5290490364263665,5.3537019182310654,12.260188235684465,1.3265556152375855,0.3452800910584094,12.355046512639074,3.1284585241140106,23.722570867296547,20.656081218225744,23.46440353147625,13.455811928955464,2.4323623869997095,25.185431026214204,34.73929917511343,7.0654718807335888,29.063593454515214,41.316161823409573,35.377296122531057,34.129390749004394,27.982373023486531,2.0535571462386017,2.6936925115441732,0,0.21728522888736396,0,1
6,0.56664739405829823,1.829958093635937,5.4344726315857983,3.0127355063422301,9.1285658331847905,7.7499353863916234,9.4557542964654751,1.6866192097718451,2.1021271348905595,18.567951494612807,16.180996086085326,8.4696449815667716,21.388546706022098,22.30575949088162,21.721368151262716,26.362901282423838,11.973303169669345,4.0744830102312282,35.147169188342801,34.959794674799888,18.155869740604022,33.588402365674774,16.278423961846833,40.447872659449807,2.252055747061716,2.25816162777393,0,0.19856213379728316,0,1
7,1.1393975383533952,2.8005492310873206,5.4680556374526761,6.9416369007075671,8.9545991836517036,9.2262274644314353,0.51184162707315672,13.513639446420171,3.9064181935870459,2.6884053837901072,1.521532627732525,17.12102435643332,23.452232191664191,19.234299770942535,19.661720619854904,28.677584416919892,26.846822478857462,9.649313432782801,12.911407720615376,32.856683349930343,24.271264704658734,34.538941816210716,45.80039651256309,19.965817412091287,1.6035673861729522,3.6761576504675508,0,0.087466399545357898,0,1
8,1.6185977625235355,3.0605230664470797,1.4010706463135314,6.1167397315712062,3.3825408761044367,11.722372060864846,11.998316859442959,9.2564503221926167,11.925506111063163,17.938200876908542,19.687318914948897,23.006395300137875,21.489457051267916,21.442666074097119,2.2168091103587391,29.59830160913744,25.389198101602467,33.739114233027379,13.685303619813149,33.398624118146166,36.910028194011659,21.198008136009587,42.896174454460244,38.379107221070115,1.6766340028514872,3.4142383918232797,0,0.10653418199734357,0,1
9,0.13119247883546203,1.9841386575233317,2.0773892187525771,7.3652254679002223,0.94003928042543594,9.8749576511880299,10.144618827062352,1.2444897170129916,0.62451972828871338,18.514089091060896,18.294507695503075,18.569999093616754,19.659783294847511,0.089701010833884681,16.914308818869678,3.5218980876975996,12.253504699682983,17.824668151609039,16.700178135386874,20.33829864370011,35.491538755447337,35.951665134299688,14.141737816590286,24.845527256165969,1.9812897002777723,3.1010549003215417,0,0.077548572459472054,0,1
