parameter,value
function,WFG9
dimension,24
population_size,120
max_generation,20000
parent_size,25
child_size,95
seed,2
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0.49217570727405519,0.81156503794244195,5.7915570279249629,4.6192269685382827,3.2362307990548111,3.77832677414799,6.6889771522810912,7.5616521905953205,15.288071399809454,6.0331015350484911,17.794581381085184,19.900809973528368,16.187439951995259,8.9076665437244724,26.376434646846782,23.83604020715951,4.2381045621307649,35.252974443332043,3.1009986000691452,14.336611754704229,37.281878785288839,27.457814177903849,42.431748685529804,39.653062810522144,1.5316417158790694,4.0908422053434261,0,0.27857279205238061,0,1
1,0.06289361869047487,1.5628582393136012,3.0077327209795763,7.1906408359830172,0.59874033281396588,5.8102811841554747,9.1384414292804745,13.397013106256411,7.6361408983855226,8.12390567790227,5.0224710176097265,11.094693803960521,22.31978780411341,20.120762934922396,22.421000047425395,16.03895577331803,22.4539431454184,5.368431851073761,20.328314631482677,27.727416510058415,3.0449535241400003,22.008711484217461,1.8154232593401782,10.235606693666725,2.4044057222471573,1.8552261582476568,0,0.45666120636574958,0,1
2,1.1615359350898939,2.1700487965204807,2.4679634220319553,0.96252599246475867,8.5972996874280163,4.7273877601422534,4.1413853010324111,11.463141694737743,4.4648396416897533,2.7837721801243624,20.301390595479138,20.822057927811198,25.708160658679262,19.253929920959315,9.3653412820090836,19.917451376980363,10.842581026247707,26.64569419341133,21.655729055335751,16.156726998588557,31.023725737305323,34.632328396701666,20.931834927096446,46.95454930458456,0.71863700165166988,4.5425883398987068,0,inf,0,1
3,1.6445134111408002,3.584883932212763,0.8586897359572272,6.3173922737098183,0.49704706909207375,10.739721746213302,5.9348391936347538,9.3724195884076931,5.9921193764291134,7.8822038978630049,11.958734587301004,2.6244866135741391,20.091484865223343,3.2909475038189391,19.516329385881672,10.327236630038984,12.525125300957997,16.973700474852929,0.59744058802213396,5.8490741590241457,8.2650806954477858,22.094892972309559,13.721712283950298,12.382188670820145,1.6870623501121644,3.6128642047657356,0,0.27592208522772027,0,1
4,1.9591579069740537,2.3063964148003815,5.9293239429028723,3.59240090461957,4.0606450541972903,0.77998292351149112,5.6353449084913345,10.229180809313043,16.777049272710215,2.2663063983728531,2.2692869341305597,11.22710798712956,22.289876391973714,5.2803701180563314,20.827834371676051,8.6727230414067247,29.334795620013892,21.411405475484585,19.855553449781031,28.520113914436237,24.169166288964409,30.217516492773775,22.454223189914789,35.996359581205049,1.468799216709193,4.186846568106426,0,0.17162125345619156,0,1
5,1.8005441211566378,1.460033574033246,0.11046863383244541,0.97876562845236659,0.90966171716957922,3.3279354737779778,5.1688995120424517,10.016656254000971,3.6642178166350186,6.8028470887015855,4.9965435465401251,5.1878669092786209,17.445512667075064,24.639386035615246,1.5901807833829149,16.473531883389253,13.29182433982664,18.92485669355198,4.8199562037835397,13.475778219046715,21.252312180702795,16.993016765010509,23.722881804522991,19.039703441721397,2.0730220670336434,2.5203507953695201,0,0.35431659059163828,0,1
6,0.9294910973764563,3.0343412157974594,2.7264566595734925,0.037542882783422944,1.6013978657550516,5.1625590458261978,3.1060608373186351,9.5309432400307195,10.03975461243623,9.7817611175724846,11.775306554390632,14.951452789562826,16.905385713439944,2.2368899296917855,25.009569032825681,19.445182412671677,28.431850543478483,25.160598130540432,24.453193817150858,31.874215532131625,27.53343636578807,23.210245190438368,25.12879121005378,40.578845623771713,1.8304907996836073,2.7224740272883721,0,0.46078114428227707,0,1
7,0.28783959029720291,3.2894315780836871,0.30876936882948514,4.7389783987079799,7.0697770197995302,2.2344484742367632,2.7414748478907627,4.2317264074456249,3.0219389288853393,10.130823173249803,15.841472310018688,11.655879515450064,19.397793406262569,11.317181333824333,3.9006449043599796,14.63605770930749,22.340893251679962,1.415662205014049,18.540874143196735,1.1299425952757629,34.385464484377117,12.57881036458803,2.8911518434909307,15.060703722178591,1.7590777454567308,3.5388236119332648,0,0.34294946209200233,0,1
8,1.9338817771185388,3.8107357444079843,5.0201539643855728,0.53466006397552091,5.5636207638007438,11.173895155837407,2.1173781413229453,14.536478684962628,1.0675426215367265,4.011475877535509,20.293193410803944,6.9187563100804779,8.1709709709939577,10.563403358561041,5.6164742892599033,2.7771734933025538,27.24493956345303,27.470741337943551,32.239837131731591,15.007726719382518,3.5347479289846624,13.252828871783022,12.750087238223809,14.193123697226987,1.3588139593871511,4.3881849765354888,0,0.45366329610646372,0,1
9,0.13637542562616156,2.9405209356455275,1.3489739349822414,6.3312921172158987,5.5749136593571986,7.5175865837967883,3.9828196243083358,8.3848057500194901,2.2987922954325288,17.777056895485469,19.360001172348429,4.4543470245521144,3.6243625071320076,27.093895012488318,11.680851691402617,14.240852797398956,22.002904851978897,16.1456176843874,17.206573805135839,27.249681055853191,28.822970523470932,42.548064444169441,6.477392436661229,26.473189223575034,2.6930468284198135,1.3847093485371287,0,0.3923382005789941,0,1
10,1.7522378345297875,1.3419797820983781,5.1447904291819038,2.2982250690073132,2.5946458303390019,7.8678951339229322,0.72482969122464314,14.570229942827989,11.426901004162175,13.029763411616219,20.0469170628797,9.832982699762205,9.2846682165165255,24.499789595513928,11.843551518800897,24.330401327058905,25.989298541904986,31.30228268898825,3.7775881772075621,32.069148949025347,29.606102435406669,23.147560098097244,16.771615383236568,26.255210257226501,2.9067712241696935,1.3328320130352274,0,inf,0,1
11,1.8348010047961418,2.0178925488535513,1.5575767611667715,5.6665661406453731,6.4649312837924739,6.4107689096714129,10.640812054999719,3.5795791200507776,10.01436083857752,5.6864709017101767,2.2889106674874924,16.262222259383183,12.766943196449979,14.81959091993923,14.312523092653976,12.101197705926948,21.442800435082663,27.922720041720392,8.4879735954244993,11.78151203187695,1.449981193100913,14.133477395322394,10.622257004152262,8.4737157512217713,2.1594156158308548,2.0677012513874335,0,0.35866542921485955,0,1
12,0.68317633935752453,2.3146405498969087,2.6253136920981683,7.4562533756400988,5.6980966165635891,4.934292653795449,2.2652298967104838,8.1527892999208564,13.383360190363486,7.8264151096667387,9.9539342882288171,2.5209595564769671,4.8423734998529975,17.09511549486826,23.107568991582561,12.958788613134967,12.371176625681167,13.232312651628988,15.633279409446684,12.692858133866022,9.0037791983844269,8.1214040641188134,45.60055057772388,33.657218021829969,2.5738187753201567,1.8695044485221597,1,0.39181637671287173,0,1
13,0.65017178484015914,1.1600229693030373,2.7677213425647809,3.6700415878890702,9.5920631558944827,6.3803850763771361,10.496407302031574,3.6528792854239307,15.649300717895269,16.852249018212753,14.514460109717916,5.6895022180467256,9.8517093645642326,19.759612621833099,29.7447572440222,17.740892966467381,26.662452792503029,21.698829913887835,26.343858072357467,2.9852965019632194,14.886078458013564,22.675424683753967,20.124022108002087,36.844942227400587,0.85870400801420643,4.7901835869019749,1,inf,0,1
14,1.6185977625235355,3.0605230664470797,1.4010706463135314,6.1167397315712062,3.3825408761044367,11.722372060864846,11.998316859442959,9.2564503221926167,11.925506111063163,17.938200876908542,19.687318914948897,23.006395300137875,21.489457051267916,21.442666074097119,2.2168091103587391,29.59830160913744,25.389198101602467,33.739114233027379,13.685303619813149,33.398624118146166,36.910028194011659,21.198008136009587,42.896174454460244,38.379107221070115,0.86800684492980329,4.7381458239276233,1,0.20794679916109926,0,1
15,0.12751716284721845,3.9400394277899937,3.6241782723321174,5.3653385754225154,5.3746084953901798,8.788321177856524,7.5925488085118857,4.0315776539697499,17.534434692489974,8.1637202164183815,8.6386490606915523,17.750660367538927,25.360369459235201,20.258366352636827,11.431939603110409,18.924209596586326,8.2728649914686549,16.113312969653194,31.548895295266426,22.018685435989752,37.41307226345549,0.41295870447429717,35.389881298211542,20.979341007697705,1.3272252728484464,4.6377369975490534,1,0.27650768936283604,0,1
16,1.8702977594583274,0.31160781355216249,0.62429212421079316,3.6940832088561391,2.9444799205521872,2.5736528227698816,8.2921549057506319,6.0621217499834961,5.9170396760004609,18.871668908346305,9.9643378393874524,20.420137995241458,2.7142378617243419,13.270235630910415,22.188964989824964,26.444576187840287,5.7251527866285032,15.673085586398697,36.190539112871853,31.345093712318615,2.2980486205728758,28.81944869229881,26.800074379742501,37.103226066198431,1.2026813310078512,4.6993474404869229,1,0.27114059685218383,0,1
17,0.19917220366736549,3.9971734385199262,5.2484275029457601,5.621682045345187,0.12775540338894659,2.3000817809226564,0.66239961139873882,8.1764177100762581,14.683165752416418,17.269335784142712,6.3497639781272479,16.20484318821795,11.736778169922903,9.2638169840219167,5.2593920792604907,3.2512296988689782,12.391433374418039,24.756345681122234,32.198272243906132,34.808083492778614,10.96897132457574,13.8712398049848,23.328074878043939,7.7082601977097855,1.73511540844172,4.0540041776474824,1,0.2371033648608567,0,1
18,1.9305442618468829,1.7228264201461887,3.5358815050311971,3.8012796201542152,4.5290490364263665,5.3537019182310654,12.260188235684465,1.3265556152375855,0.3452800910584094,12.355046512639074,3.1284585241140106,23.722570867296547,20.656081218225744,23.46440353147625,13.455811928955464,2.4323623869997095,25.185431026214204,34.73929917511343,7.0654718807335888,29.063593454515214,41.316161823409573,35.377296122531057,34.129390749004394,27.982373023486531,1.5460432070044372,4.3865542067585626,1,0.24616047774626371,0,1
19,0.062621426026709129,1.1311015309626171,3.3505393490119157,1.8771903779853263,7.957985710266696,7.7060336470494128,4.1140859830380716,2.0833611658803139,10.972988876836265,4.9483403705024589,9.4514405286422072,0.55606871542903791,10.830903027745206,16.977963272153943,12.431853858753517,17.912692360033553,31.512846319595358,28.315686202781762,35.850495611671334,36.59784806511518,10.235310565776192,3.0727610893439796,45.798060101884168,35.393462374990399,1.6461179464534932,4.3815266822238943,1,0.20200994390787363,0,1
20,0.37016416314802825,3.7261634543779549,5.6863836658415323,3.8779927705141199,3.2053643637811016,1.8531201071953443,9.7840776510688201,1.9192087040069363,8.7331664681885819,12.654754613837353,18.000987888701481,16.392623883834901,12.962590359034733,16.43031541406647,21.592626929174454,8.2719386129478742,18.571048766149943,14.663081974208477,6.7254157108648993,38.785296306755818,12.47477111993831,12.666228076180584,5.3448928486773806,8.7228977914511887,2.1038107221919384,2.6921178289147645,1,0.12865690951865805,0,1
21,1.6839953682673945,0.12721950959717737,0.40641143526999601,5.0254497498056558,6.3494350992280557,9.2368436201576358,6.1794407653701509,13.735493457698317,6.8699263951326479,19.295613097520949,17.166641158241326,10.223393993478251,8.9985518816075611,15.097113125905052,12.936417124303258,25.044256580453997,22.689123684689243,24.934279317348686,13.065916026421451,23.031159963607966,17.594107114132161,3.0183642346532369,4.4872112496735328,10.862215662755611,2.0089123447552355,3.2983253782814508,1,0.29440385820746251,0,1
22,1.5210428940470035,2.5285873803601748,3.1045089764907412,0.79104657622035768,8.9565076644579609,9.3052781852237985,9.7776588571906977,10.191641423881379,4.1872675776302852,11.366948733272368,5.8254696252525102,7.06410406791609,11.71873355121607,5.2761274818678539,27.78991268521942,5.9879382620447528,10.325726126746254,17.351562470608048,29.970351988614098,6.1061347240815058,27.869754365090859,27.939548320964853,13.650317046428395,24.261643154798541,1.9477884344397367,3.4580346800583914,1,0.20521180258072902,0,1
23,1.6972300107329392,1.3229764014358345,4.8827926850853247,0.5798491267171646,3.0534500359033268,4.6141339288068322,1.9024987243243197,11.60497464204599,1.0845428425140318,7.001230111483169,9.9753901605702087,3.4506724510241709,2.9251185681914795,25.669914733114261,3.6276069060306444,23.038077356801427,1.7016163027000064,19.480376375587035,17.389727346043379,22.701540131010709,6.0989049019336763,18.98052000485476,6.8739913485424502,7.8699136516079538,2.0844348800347285,2.7394883421244538,1,0.23772364729039067,0,1
24,0.033137541138057822,0.91739222894232053,0.15026190799011196,6.068518334394037,7.5335659562671644,2.7230829313878306,7.1211096064019701,9.9513334922306171,0.8627344076458896,0.19438793170598673,0.045369310398715244,2.8707681974697294,25.17179202945999,11.695387600363581,19.342101869191517,31.080480051135712,24.904796876750613,24.413724754300876,15.816691921594977,35.49737057131545,16.254201765929505,36.735181774772926,45.532165876516132,37.741164380790444,1.8484273434200595,3.9581867137364561,1,0.17238826326882367,0,1
25,0.41841470069580444,0.80907199560910625,4.9471122181798126,4.1429787557442941,5.8973249807880972,4.3121291959502068,11.632893286067652,0.98952748500940679,6.2648059651845571,15.792233185091522,6.3947793930223717,15.920459649343151,5.4311448837429408,24.033767797662698,28.723704913070122,30.345657943778054,24.03297203842029,10.539743816149578,27.169470812066734,37.501901562825758,15.071187740172661,20.890972842982364,41.502747606060751,9.8319302039740251,1.9477714632698881,3.8566155178023336,1,0.20714234799657125,0,1
26,1.1393975383533952,2.8005492310873206,5.4680556374526761,6.9416369007075671,8.9545991836517036,9.2262274644314353,0.51184162707315672,13.513639446420171,3.9064181935870459,2.6884053837901072,1.521532627732525,17.12102435643332,23.452232191664191,19.234299770942535,19.661720619854904,28.677584416919892,26.846822478857462,9.649313432782801,12.911407720615376,32.856683349930343,24.271264704658734,34.538941816210716,45.80039651256309,19.965817412091287,2.7722770689766882,1.5679275954742147,1,inf,0,1
27,0.91938059269268568,3.447905833052642,1.4073675335770088,2.3961701488862999,5.347429912692462,9.4288901969879184,8.9529579589628998,12.286412498343797,15.018270881918868,13.354430972903238,2.8790183778554557,5.1345850673858564,10.007632528612028,23.549752624827725,1.073549325286665,15.637009027162268,21.243170414466935,9.7364749378205424,17.410051884245949,22.157049565532819,31.284756431503137,39.749145216891485,9.5313587473161778,6.4897799806204315,2.2582848141828888,2.6176678687257811,1,0.30639547771537612,0,1
28,0.79873593520665853,2.5480194337957638,1.4451391273371019,7.4592589561394158,0.96527812048510564,9.3098956200284739,4.3130237638642637,15.493346848290066,4.0484596575410912,2.6267849742014593,18.70474230921387,17.925380475413839,14.748017651790713,23.965804810266327,20.221515877072388,17.093157966776328,17.500438089058697,27.286049711940155,7.7330497057810668,0.054574986494075939,0.35683628211894769,0.82409949173437658,11.973271465143091,23.545518644731722,2.4274872863572745,2.2498704931453486,1,0.39707877450743412,0,1
29,1.0324893942055067,1.2781799787229271,5.3903021433505627,3.8437153778466207,1.0190616930998957,3.2691828045064146,8.5657052747913838,12.291331121139127,1.346029192388452,11.783731288452641,6.1966606748535114,0.19933021082861241,9.9544645914682555,18.557486096342505,19.213225222953014,17.930783758129973,17.751464600208493,1.2207198672570889,22.842733742555144,0.81465486428478329,32.47779551399713,38.022799477905089,6.2314116798394812,34.153666006320336,2.5955545304749212,2.2262525428182167,2,0.16821364861834989,0,1
30,0.73278800114274956,1.8728018762985881,5.7638063817993421,0.82484457321140991,6.753468931055755,1.5542162783808726,0.14661227013670497,12.867392275215604,17.870006746377925,3.0543762734645958,9.864655631617703,3.7016936708568777,4.5988263226203516,24.668247313645011,19.741757434775344,25.311317078898778,30.478621970361189,12.648298652854507,0.83073076040070448,5.0882687083172105,16.636616526792906,26.259720701277427,10.972043870575398,39.765940595415998,2.6593237778285728,1.8921339435618909,2,0.35687619570175055,0,1
31,0.92476831318943831,0.55391406705564505,1.8228677860198181,5.3088642714946745,7.6320022274869785,5.2349351432515867,6.7281766294414176,13.994779595146772,3.7791563146296183,12.178216851158599,14.756563603940686,6.0674211489964165,10.590986225256238,14.307469972629438,17.722597224682612,12.47652188664193,3.5314054530447594,25.601999946802227,36.746455650179065,37.459964003226261,27.978344693930552,22.763313872013168,42.51423640150395,26.586271116843637,1.0567335412041308,4.7705630548483224,2,inf,0,1
32,0.13636663166655799,2.4652778767282335,5.9007379546099541,3.0860136644052498,4.2328560503437611,11.335253641900788,9.9828839786314916,1.8940673475082865,15.813963054439702,2.2204485539467345,2.7215448826344617,22.382445193541709,0.1496244656886784,23.459382148720021,15.396006239023741,27.187602504589389,33.84614259821246,33.376868792070752,1.6999131699213723,23.110951466966085,23.525868947110915,34.536715976212989,40.063884798523716,9.940441355571874,1.2844119414325985,4.7302347724719418,2,0.43424785640689595,0,1
33,1.9844194696903641,0.058170546868676141,0.49323476995105264,6.5490642025840158,2.3229511885847325,3.9245155967665433,3.221802798704652,12.497650014657333,4.7518063957140724,19.340777991317214,14.563522429834343,23.938071230916325,16.682685389010217,5.8970617042455489,28.97778884682775,27.511594959948773,13.329537007479237,10.475429414170195,0.72108256910116231,3.7176956859588133,12.402898887016478,32.29667951250363,18.015660290117221,37.500958129026074,1.8097084019187699,4.3808277108453648,2,0.11416845836053331,0,1
34,0.023330098570733555,1.0475666460178839,5.8256056573874861,2.5340982132684888,8.2720878542846794,11.683959713395573,3.8186932162880112,14.299341256071353,9.4761246989279382,17.598213644634409,13.879647818280977,6.9831713217980003,24.9726081196746,21.64018598480471,19.562964203778549,23.60495902741803,21.420895886911946,7.9481242282986031,1.4674548766167497,39.665226393053736,23.332635110930404,25.385138554386529,33.32439639414789,32.341047158396876,1.8251547379731994,4.1692667930072274,2,0.15887313920255353,0,1
