parameter,value
function,WFG1
dimension,24
population_size,120
max_generation,2000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

snapshot_generation_1700
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0,0,0,0,2.6943619271065198,7.6425456618830268,2.1478211887990346,1.7580499064439612,6.5258520620497151,19.447104339938758,8.2598708050761651,9.8942626912227265,11.50598386820562,9.9265702509635716,20.055088943381342,11.209475517421149,11.323539513717213,11.293908119184836,35.326347439362458,35.389927010730858,14.309822997030507,15.402728951970561,16.479245508404418,13.817562010565291,0.94408331213627672,4.9440833121362768,0,inf,0,1
1,0.77122668183672816,2.294093519707979,1.8933998542178112,1.6401828090260522,5.0415245212332529,7.7855351927775036,3.0846836745337183,10.329108428608031,9.2639152567566061,17.02333991152025,7.6011708254779506,8.4019431722728211,22.004876736199908,10.07091139275283,7.0242935856200859,11.264437702463866,11.985892707813186,19.573781884669124,29.223478575106416,8.5261140830049236,14.837222749039622,18.505690403713359,16.080305095245109,16.874028279485529,2.8641765947265898,0.9459570035668099,0,inf,0,1
2,0,0.0031080956674314208,0,0,4.0488857643886931,8.2419843556089081,1.2352086722377353,5.7602270681722203,7.4054070468301703,15.079694568315684,8.1968293466839306,8.2528840647011741,16.375090616973143,9.8597441217700652,12.018420713445639,12.467657675358929,13.33921120639072,12.322794912264801,34.127857249649708,19.45712156168139,16.498322315473835,17.701124040256527,16.80699996515429,21.90715506972662,1.0260551260949693,4.1644643632569727,0,0.13688840353126733,0,1
3,0.71378380623070836,0,0,0,4.1005572572145921,12,1.4803181479241045,6.8000305505028376,8.4211296904901669,19.555483000155149,8.0808712640817593,10.032832149052879,16.067068276688623,9.9900550888859918,11.483196731356303,10.748607815973013,12.519928273304402,12.587932373969769,38,8.6520923559937746,14.662696329200138,16.462224654778375,15.453976668939543,15.043948271356028,0.9705703877831442,4.5632501642088092,0,0.132302395699221,0,1
4,0.46069696444247121,0,0,0,4.3420314608611816,11.54847246870713,1.5549868793906736,4.975751768043537,8.2594382100505648,20,8.2639524580351722,9.9869657733569515,17.298682517576594,10.808125526414614,12.350504347158376,11.201468358595692,11.739527170781217,13.07054830724036,37.534358354942945,15.572263436394474,15.928201623259801,15.226602689035484,15.750732892434742,17.0212440280926,0.96372290120398019,4.5636343850505563,0,0.10904758730929606,0,1
5,0,0,0,0.0015832863457892477,3.0530772656322736,8.5155826161195325,1.8136331853185823,2.0964450607805567,6.2441448728881639,14.39259176355195,9.3102378474767882,9.5099539533483632,9.1504911124841453,10.231696241278811,18.956783370501384,11.39471307531292,11.433540535673853,8.7908082108318144,33.400611721438707,28.349558580665512,17.318937219386001,18.157640318462274,16.170389783694894,17.54992406506614,1.2247653212225513,3.4841777518230912,0,0.10891997013974734,0,1
6,1.4539937379026866,3.2292886685933699,0,0,7.9157208522883717,10.260432338511968,3.9907918901880977,12.407470339527482,6.6822480350294136,12.206531517868976,8.2578851740593144,2.7688775544647815,22.708423855470524,2.8419430047938774,0.25703163141952051,14.595998999097858,5.4461293172988716,14.784932262277579,38,1.4824070547258186,18.108618662779651,15.47425577635776,16.456590849113908,10.999507145109812,1.1838867462715994,3.7799372649304033,0,0.10723819926849588,0,1
7,0.45746638876909473,0,0.89606500445705795,1.4456181565691595,3.4316597153312625,8.1908177917832745,2.7664033791219702,4.8168642481659383,6.8772946935693984,14.270852638447961,7.6160435980525758,9.6451410933811239,11.766738660184235,9.7868236861135411,14.007382738887983,11.188645938179189,10.96644157256155,9.8897306469443897,35.369678246527634,18.375167852629183,14.697213155476549,15.878516892796839,16.231071807263504,19.003606201916384,2.2371257932435062,1.7501565109948327,0,0.078119572958857103,0,1
8,0,0,0.24159577252911896,0.0037783755499313648,3.7498891723853864,8.7573718729835495,1.2173750747097969,4.549607691394244,6.8458843371940707,14.621094259474079,9.7456849986898053,10.058426473761871,9.9813627670978491,9.7605697036376942,16.134683843470423,12.406345868892082,11.930915126240151,11.111761118305374,35.714782575743826,28.495558367864,14.472841512647552,17.469004034842019,15.520898789598249,16.288199677989486,1.8378600415902697,2.5407996188673643,0,0.077498612631257638,0,1
9,0,0.20898312304087041,0.056259941970123177,0.014893344517087813,2.6475450283308697,7.4949661975831203,2.9669796561402233,2.9375082954985943,6.6730639734762738,17.490834888168941,9.4938529795072366,9.4352725308033651,11.188030516122842,10.256002883968508,18.297622262209732,11.400093035192793,11.728352093312647,11.730584702265322,32.675591800359726,31.115763393287118,15.407856769256497,15.834225205353327,16.01486689232766,18.846244105172037,2.375553069301251,1.7480240860351555,0,0.076573376763306028,0,1
