parameter,value
function,WFG2
dimension,24
population_size,120
max_generation,20000
parent_size,25
child_size,95
seed,2
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

snapshot_generation_2400
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,2,4,6,8,3.3989639183461855,3.7111279742009491,5.1830526900054039,6.3939006872900332,6.3751159947555234,7.6094401450721589,7.1715753208258075,9.8168242315981775,11.6234050214051,12.399810165599005,11.93970319381968,10.070465235453359,14.430812392263967,13.774364476758601,13.557591830158701,13.856347985217214,23.94193268839868,24.191886379594223,14.717248777053557,23.545688599790807,2.0991808292854568,0.099180829285456823,0,inf,0,1
1,0,0,0.024009862672618495,2.2289274497600968,3.7890928992583337,4.1252915257596348,5.5866590716582332,5.2160515945933223,6.5009973959011207,7.0816603203476856,7.9505267767427474,8.1127180952601687,10.502912435802385,11.225651275657491,14.734006123250904,15.768575292370855,13.443934183923011,14.855080126350872,13.177347234256692,13.817888445370578,20.945027568993567,20.699187911173858,13.556101050505099,21.747752744774907,0.081773578474854045,4.0135518192298196,0,inf,0,1
2,1.9713671375697381,4,4.3806268373163935,3.9273218329075186,3.5127114920320368,4.2676781603006786,5.422900250783032,5.9394377068334361,6.9702344284247779,7.8932603345972057,7.8689629014027478,8.7306597848482159,11.184645984648729,11.977082017162369,11.8305147423709,12.596670312291407,13.271000641723534,13.979540880122366,12.815532478681279,13.209469279478775,22.605388363417585,22.340527822053033,14.689005712147429,21.931414958566492,1.4551208640943896,0.86366391236697804,0,0.29798516109782391,0,1
3,1.995860778105863,3.9214365776032616,6,7.3217209555135412,3.3976977602809595,3.7939102924103314,5.2710750853009012,6.3659376900909139,6.4886703753927302,7.6855266108793687,7.2467678415079346,9.6605107758922451,11.508868892925113,12.248287243057087,11.966470597612476,10.324668238894807,14.302046787890147,13.84242592383783,13.476390927963852,13.764400586538077,23.598226601213668,23.77325840175958,14.657655825621855,23.379566677727269,2.0084966573186835,0.84078419810720006,0,0.28812541167553496,0,1
4,2,2.9291086715525618,2.1258848271561197,2.6182227942027403,3.4927840401322245,4.2147888844823491,5.1644486164321783,5.4367576908012039,6.1738619934331052,7.3990783260193407,7.4958314650152733,8.8516974642527284,10.740039803226164,11.565954695992113,13.830020390825355,14.776408496246928,13.953766305602603,14.751115666121931,12.668753502691265,13.326127673637993,21.007601180286994,21.368650387234585,13.434852594018766,21.940014423340756,0.89440536838253326,1.6544301188514299,0,0.2392888363359566,0,1
5,1.9705053899919864,3.8890465334748963,3.9708909451905487,3.664831507320196,3.5193583828630044,4.2004602405589315,5.4002271354799749,5.8266272049427004,6.7932816496183532,7.7703154754225636,7.6767306583485402,8.7206036253173913,11.176896138386468,11.964244290638918,12.166862084204796,13.027945995907709,13.409506288589483,14.100034179391372,12.880270587640117,13.309699316878348,22.480883596220163,22.26756292202721,14.360369093285913,21.872455346033217,1.3586961526863823,1.649654922652354,0,0.23694245123622387,0,1
6,1.8126615019846808,2.7154011497589821,2.0371711532727534,2.6542552317962063,3.4864577382010804,4.2324732091734578,5.1826089173548295,5.4264671101970317,6.164718511416015,7.3372837093565231,7.5250860313712611,8.8505731467750604,10.660834386499376,11.478382794240138,13.923916430996201,14.863900168481294,13.934414583528545,14.75871473530202,12.653599854593917,13.331535372987702,20.883313162617355,21.244465795239865,13.428517507334179,22.029155427574214,0.79594447470646168,2.4482194760373819,0,0.17409268740898617,0,1
7,0.92630463446613576,2.0795918332618815,1.8951367931790419,2.5788305943918339,3.4942707093128882,4.234032892105648,5.264958485940598,5.3706341320300881,6.1937230128255596,7.2411954664192297,7.5059458402199457,8.7841664676290367,10.490943953310389,11.322474738281075,14.127945077884757,15.068737530992031,13.936525482470971,14.762560049601117,12.716170346864519,13.404560785982438,20.664998789122418,20.908200935599204,13.316250550422518,22.152074775283147,0.45214112328639827,2.4503184629612567,0,0.17381891916331316,0,1
8,0.50013441248156765,2.172239476708985,1.7823484434543373,2.6358870301485262,3.5206673792694909,4.224073660888795,5.2580910569895662,5.3876446980581134,6.2091550813326188,7.2517286866893986,7.5600446371069028,8.7532908171530543,10.589078652810688,11.408855316876283,14.104207896740734,15.025116823885899,13.911651340652003,14.749530443752709,12.733729197816164,13.418626625702485,20.820654401781187,21.06393550223601,13.426770339968153,22.038726378840352,0.36319958914759809,3.2412902966403925,0,0.10229485094674859,0,1
9,0.24344947991206933,0.72571487848063165,1.1918108226149722,2.6522813697564374,3.6166412049964531,4.1380158559967901,5.468538950873568,5.2801903005777273,6.392762186887115,7.1646575868038411,7.6443441203675588,8.5316460199931843,10.282137291146157,11.092270220125011,14.441637899982346,15.166233575367565,13.889386693591952,14.661084812144255,12.929745409448692,13.614518519884646,20.611095799881092,20.459381974903359,13.310591033168473,22.297908941085137,0.16754909240852744,3.2422773072343851,0,0.10148706716263112,0,1
10,1.9591874217039771,2.8950604558217736,2.0477429951808812,2.8086616349847189,3.4618030191212092,4.2018566317472485,5.176008369072802,5.3838981057383757,6.065529097179545,7.3059499578376927,7.4676145713447291,8.9065943226235671,10.504982633492125,11.2657972610022,14.054449910586163,14.983242119701913,14.013703449787913,14.805340301837784,12.595462437438776,13.331002985069691,20.622143020456392,21.045897867083863,13.188598218351679,22.293243187375957,0.88607736507425794,1.6692989753019318,0,0.052138971349871679,0,1
11,2,2.6379430476286059,2.1210373976432955,2.723541647288279,3.5096103417703746,4.1670888133815236,5.2162814163113698,5.4309333973057328,6.2417295286840808,7.4312933403766612,7.5141287180077931,8.8205689894672741,10.639982998305152,11.441423951717944,13.699594487268087,14.62650068199717,13.891387532715342,14.665408455347778,12.70620063193218,13.360183585119241,21.064273492974642,21.296941767605663,13.398986184943801,22.159007039242656,0.85742866355209491,1.7867755741584253,0,0.048320891630827992,0,1
12,1.9496098309954495,4,4.1320172160316506,3.7955665398401233,3.5141605433524465,4.2597944091038009,5.3983490568602948,5.922147672198367,6.8837092973500518,7.8025829157272844,7.8218876281953893,8.7594562763938058,11.245880761078174,12.04013213714005,12.063031662612499,12.741811801069327,13.354707142947264,14.040690026439389,12.837513454722759,13.243680829173169,22.559052054817613,22.369334473810426,14.664239665008044,21.819947469246639,1.4041465722341313,1.1132701095901687,0,0.047495354053816323,0,1
13,0.31998154680514229,0.44328394412752037,1.1296412504946471,2.3427116399148926,3.6682278836839433,4.1103171463323642,5.4895012542783128,5.269739073991814,6.4942881363960776,7.2006223506046512,7.683927890441276,8.430000719957075,10.414936238151911,11.227554775276632,14.160729909095584,15.100468363743829,13.695218861742816,14.526723000238476,12.988887554128985,13.639708140348638,21.001629145882266,20.676504147357445,13.456245477960088,22.127613318535222,0.14786540456002267,3.335866341175604,0,0.043433142752083119,0,1
14,1.9386684605149411,2.5606706447662666,2.0097198853048708,2.6914210845708855,3.486930778306859,4.2147382423060726,5.1804865953270225,5.4045724334830227,6.1432883533318563,7.3167239457022957,7.5252915870420409,8.869707601697991,10.594680718230592,11.385808764564116,13.936302187552627,14.887349759847021,13.916446444640684,14.737672275245833,12.635986878830625,13.33359068817202,20.826616109443968,21.173764041885708,13.368668124388504,22.16296812398619,0.81129856015079249,2.2440853636262608,0,0.04070557391177608,0,1
15,0.032422805089757131,0.37692808540961215,1.1683969656291813,2.8851883123567652,3.5917435581838966,4.1394130492055705,5.475232484502695,5.2865922008255302,6.3999498259069227,7.1374389532421709,7.6139301056272206,8.6002262946390591,10.171867272880363,11.010679851461585,14.454916187473328,15.040893849751372,13.989977420361027,14.589647801595186,12.906367556126256,13.60629757892967,20.498847182217247,20.305713881098253,13.290605148543138,22.49315454961771,0.13035199553656976,3.5649160402103828,0,0.039399990406346543,0,1
