parameter,value
function,WFG2
dimension,24
population_size,120
max_generation,20000
parent_size,25
child_size,95
seed,2
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0.92476831318943831,0.55391406705564505,1.8228677860198181,5.3088642714946745,7.6320022274869785,5.2349351432515867,6.7281766294414176,13.994779595146772,3.7791563146296183,12.178216851158599,14.756563603940686,6.0674211489964165,10.590986225256238,14.307469972629438,17.722597224682612,12.47652188664193,3.5314054530447594,25.601999946802227,36.746455650179065,37.459964003226261,27.978344693930552,22.763313872013168,42.51423640150395,26.586271116843637,0.85885751592350501,2.9473312571736248,0,0.68567445269139971,0,1
1,1.5060509745765391,0.10806364371332226,1.9184064439970414,2.6601519392125099,2.1375324071921553,10.215327227697436,10.625718594623262,6.0233135927229879,10.648896129509055,5.5465035331638477,20.248403703650631,10.011104070636774,2.3805681151493756,18.402630893846258,7.9505659388321153,7.1266224921783801,20.962200408223982,20.345275832093176,17.930453413728731,25.035108642678448,12.948747956340663,16.462993990381985,36.100619760635169,41.730758758255732,0.7691829954489966,3.5652221821195531,0,0.34229719976937545,0,1
2,0.68317633935752453,2.3146405498969087,2.6253136920981683,7.4562533756400988,5.6980966165635891,4.934292653795449,2.2652298967104838,8.1527892999208564,13.383360190363486,7.8264151096667387,9.9539342882288171,2.5209595564769671,4.8423734998529975,17.09511549486826,23.107568991582561,12.958788613134967,12.371176625681167,13.232312651628988,15.633279409446684,12.692858133866022,9.0037791983844269,8.1214040641188134,45.60055057772388,33.657218021829969,1.1735641870878613,2.5306814361134364,0,0.76626238733070606,0,1
3,0.88703666597416653,3.9193779862689127,4.3950875909623726,7.6431541498085132,0.55712707617033419,8.4262913292299224,13.287017964614098,13.310134856305044,13.807411149420059,7.5441758639119865,15.077012098680562,4.8689993913469305,7.3175201574261992,3.1615909196310743,22.187001270862567,8.8575496596685674,8.86426784767038,0.27658240054170818,5.4423667431871259,23.076724114117553,25.691149638267873,6.0847373888246095,44.422622767608217,38.017696183166521,1.9199389743977324,1.8552784792622559,0,inf,0,1
4,0.66496199818550972,1.2962139558288408,0.052438072216477657,0.78716735979743402,4.7955833235940162,7.1769959201208824,7.5067881903580949,6.9028964125866636,3.1638557312797735,4.5260588798914743,11.403446439187261,22.943663329900009,22.819360898700349,20.126136516557025,27.051011417051338,17.597018529203023,23.721621993976271,23.835792215759987,20.103843287909086,24.737807997965625,33.433152996088111,5.9740124200391795,8.9919027146308306,22.205643071450915,0.56093895566637919,3.7234438708689721,0,inf,0,1
5,1.534812414853626,0.88297596946761547,0.30700450180508365,3.5112877992197715,5.7192701487864692,6.9823893042959675,0.78902287294184492,12.422140694591308,12.98618129152953,14.867467681636139,20.898874701255512,10.419276363116651,4.6733145681266954,8.215950386771242,11.294459363774189,9.3956741206957535,15.654025526152965,24.459759620012139,29.11225671754984,32.659752070854722,27.559615982338975,3.1308573126293107,3.056092004948169,33.297271719357866,0.8242191008774713,3.3314033787385227,0,0.3967331076055306,0,1
6,0.17620503503875548,1.7076802308700278,1.7498252065611455,0.46068311408240559,7.5463489326794653,5.747267431836443,8.5578065835853803,3.1539744484463261,14.726698392178339,10.702781489560749,21.898841761686803,3.4245966561236658,3.7899201971075205,23.970108371311113,11.096643837088267,10.468124263368695,7.1964020599048908,31.58422348271683,17.414121984546327,15.681378748090815,41.185522325065541,6.6537443615109915,30.23841762863119,2.7562969707916052,0.63437355112637661,3.7098977386904854,0,0.2379269063628382,0,1
7,1.8348010047961418,2.0178925488535513,1.5575767611667715,5.6665661406453731,6.4649312837924739,6.4107689096714129,10.640812054999719,3.5795791200507776,10.01436083857752,5.6864709017101767,2.2889106674874924,16.262222259383183,12.766943196449979,14.81959091993923,14.312523092653976,12.101197705926948,21.442800435082663,27.922720041720392,8.4879735954244993,11.78151203187695,1.449981193100913,14.133477395322394,10.622257004152262,8.4737157512217713,1.2302005501190272,2.0262974625185883,0,0.91074155528251644,0,1
8,1.9453407280258841,0.81816892041003564,0.98659500942099154,1.3073816216426317,9.8639087028833803,10.386699458277697,8.6288057988144811,14.979507643896218,2.7516133715014441,7.5544597615690945,11.500677263388614,2.7400464192740208,22.311050750004782,5.0313972257597603,12.004336204008297,11.340616952448999,6.5348727664636606,4.3933650897477907,33.410914884489927,32.397346742197605,10.186307448482278,23.0888219845598,2.8289640029233811,38.497392069091518,0.8590658930142604,3.2143821157594292,1,0.47577923083408757,0,1
9,0.2499743115373273,1.1726505428202736,4.2998906485315835,3.5082003328674363,1.3350538247712,0.34210288148627227,7.1334829899278391,4.0125417058969912,14.933325054276228,6.3460117099294031,21.183030631617065,0.60092654501488552,6.7994213303902384,17.663495288367734,13.23010305662142,14.823596212175779,17.136746199740085,28.969871093493676,5.29184239541532,13.310923181034438,29.714163810759029,15.018429633455943,42.460885567037721,44.315373232683548,0.87629128133531642,2.950431542530664,1,0.80350662211227675,0,1
